responseid,imp_accept,other_accept,self_accept,r10panelpad,opinion_ban,opinion_strength,video_mobile,video_ended,video_error,video_paused,video_played,video_timespent,video_report,r10pad4_comment,fairness,accept,trust,check_outcome,check_politician,r10pad1_9_backward_1,r10pad1_9_backward_2,r10pad1_9_backward_3,r10pad1_9_backward_4,r10pad1_9_backward_5,r10pad1_9_backward_6,r10pad1_9_backward_7,r10pad1_9_backward_8,video,treatment,favorability,mcheck_favorability,imp_accept2,other_accept2,self_accept2,opinion_strength2
1000478,4,4,4,1,Pro,5,1,NA,NA,NA,NA,158,1,,1,2,2,2,1,1,NA,NA,NA,NA,NA,1,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1000484,4,4,4,1,Pro,2,0,1,NA,1,1,179,3,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1000485,4,3,NA,1,Pro,2,0,1,NA,NA,1,125,1,,4,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,NA,Not important
1000500,4,3,3,1,Pro,3,0,1,NA,1,1,113,3,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1000508,4,3,3,1,Pro,4,0,NA,NA,1,2,110,3,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Important
1000532,5,4,4,1,Pro,2,0,1,NA,1,1,114,3,,4,4,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1000534,3,3,4,1,Pro,3,0,1,NA,1,1,91,3,,4,4,4,1,2,NA,NA,1,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,High degree,Not important
1000555,2,5,3,1,Pro,3,0,1,NA,1,1,89,1,,3,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1000561,3,4,4,1,Pro,4,0,1,NA,1,1,114,1,,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,High degree,Important
1000574,1,4,1,1,Pro,2,0,2,NA,2,2,82,1,,3,4,2,1,2,NA,1,NA,NA,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,High degree,Low degree,Not important
