responseid,imp_accept,other_accept,self_accept,r10panelpad,opinion_ban,opinion_strength,video_mobile,video_ended,video_error,video_paused,video_played,video_timespent,video_report,r10pad4_comment,fairness,accept,trust,check_outcome,check_politician,r10pad1_9_backward_1,r10pad1_9_backward_2,r10pad1_9_backward_3,r10pad1_9_backward_4,r10pad1_9_backward_5,r10pad1_9_backward_6,r10pad1_9_backward_7,r10pad1_9_backward_8,video,treatment,favorability,mcheck_favorability,imp_accept2,other_accept2,self_accept2,opinion_strength2
1001958,4,3,4,1,Pro,5,0,2,NA,NA,2,117,1,,4,4,3,2,1,NA,NA,NA,1,1,1,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Important
1001982,4,5,5,1,Pro,4,1,NA,NA,NA,NA,107,1,,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Important
1002003,2,4,1,1,Pro,5,0,1,NA,1,1,115,1,,1,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,Low degree,Important
1002021,3,3,3,1,Pro,2,1,NA,NA,NA,NA,113,1,,4,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,Low degree,Not important
1002027,3,4,4,1,Pro,3,0,1,NA,NA,1,129,1,,5,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,High degree,Not important
1002070,4,3,4,1,Pro,3,1,NA,NA,NA,NA,105,1,,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
1002080,2,3,4,1,Pro,4,0,1,NA,1,1,92,1,,4,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,High degree,Important
1002087,3,3,3,1,Pro,4,1,NA,NA,NA,NA,118,1,,3,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,Low degree,Important
1002089,4,3,3,1,Pro,3,0,1,NA,1,1,102,1,,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,Low degree,Not important
1002094,5,3,4,1,Pro,3,0,1,NA,1,1,117,1,,2,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002155,4,4,5,1,Pro,2,0,1,NA,1,1,128,1,,4,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1002157,4,4,3,1,Pro,5,0,2,NA,NA,2,229,3,,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,Low degree,Important
1002158,4,3,4,1,Pro,2,1,NA,NA,NA,NA,104,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002162,4,3,4,1,Pro,2,0,1,NA,1,1,119,1,,3,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002181,4,3,4,1,Pro,3,0,1,NA,1,1,126,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002198,5,3,4,1,Pro,4,0,1,NA,1,1,89,1,,5,5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,High degree,Important
1002252,3,3,3,1,Pro,4,1,NA,NA,NA,NA,100,1,,4,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1002264,4,5,5,1,Pro,2,0,1,NA,1,1,108,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Not important
1002278,2,4,2,1,Pro,4,0,1,NA,1,1,90,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,Low degree,Important
1002291,1,3,NA,1,Pro,3,0,1,NA,1,1,94,1,,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,NA,Not important
1002294,4,3,NA,1,Pro,3,0,1,NA,1,1,100,1,,3,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,NA,Not important
1002328,5,3,4,1,Pro,3,0,1,NA,1,1,105,1,,4,NA,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002331,3,3,3,1,Pro,3,0,1,NA,1,2,108,1,,4,4,3,2,1,1,1,1,1,1,1,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1002333,4,4,4,1,Pro,3,0,1,NA,2,2,138,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1002345,4,4,4,1,Pro,2,0,1,NA,1,1,99,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1002346,4,4,4,1,Pro,4,0,1,NA,1,1,133,3,,4,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Important
1002353,4,3,5,1,Pro,3,0,2,NA,2,3,272,1,,3,4,3,2,2,NA,1,1,1,1,1,1,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002358,3,4,4,1,Pro,2,0,1,NA,1,1,117,1,,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,High degree,High degree,Not important
1002376,4,3,4,1,Pro,3,1,NA,NA,NA,NA,94,1,,4,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002385,3,2,3,1,Pro,2,1,NA,NA,NA,NA,122,1,,4,5,4,2,1,1,1,1,1,1,1,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1002388,5,4,4,1,Pro,3,0,1,NA,1,1,90,1,,4,4,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1002398,3,3,4,1,Pro,3,0,1,NA,1,1,113,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,High degree,Not important
1002421,4,3,3,1,Pro,4,0,2,NA,2,2,107,1,,4,2,3,2,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,Low degree,Important
1002447,4,4,3,1,Pro,5,1,NA,NA,NA,NA,129,1,,4,3,3,2,1,1,1,1,1,1,1,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,Low degree,Important
1002455,2,4,3,1,Pro,2,1,NA,NA,NA,NA,107,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1002463,4,4,4,1,Pro,2,0,1,NA,1,1,113,1,,5,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1002474,NA,NA,NA,1,Pro,4,0,1,NA,1,1,119,1,,4,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,NA,NA,NA,Important
1002486,4,3,3,1,Pro,3,0,1,NA,1,1,109,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1002506,4,NA,4,1,Pro,3,0,2,NA,4,4,90,1,,4,4,3,2,1,1,1,1,1,1,1,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,NA,High degree,Not important
1002511,4,5,3,1,Pro,4,1,NA,NA,NA,NA,113,1,,3,4,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,Low degree,Important
1002520,4,4,4,1,Pro,2,1,NA,NA,NA,NA,108,1,,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1002524,3,4,2,1,Pro,2,1,NA,NA,NA,NA,92,3,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1002536,4,2,4,1,Pro,1,0,2,NA,NA,2,130,3,,5,5,4,2,2,NA,NA,1,NA,1,1,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002583,4,4,4,1,Pro,4,0,1,NA,1,1,122,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Important
1002617,3,3,3,1,Pro,3,0,1,NA,1,1,96,1,,4,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,Low degree,Not important
1002619,3,2,2,1,Pro,5,0,1,NA,1,1,115,1,,5,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1002621,3,4,3,1,Pro,2,0,1,NA,1,1,111,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1002634,4,4,5,1,Pro,5,0,2,NA,2,2,101,1,,2,1,2,2,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Important
1002659,4,4,4,1,Pro,4,0,2,NA,2,2,174,3,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Important
1002666,5,4,5,1,Pro,4,0,2,NA,2,2,251,1,,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Important
1002694,1,4,3,1,Pro,2,1,NA,NA,NA,NA,86,3,,3,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,High degree,Low degree,Not important
1002738,2,3,3,1,Pro,2,0,1,NA,1,1,109,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1002741,3,3,3,1,NA,3,0,1,NA,1,1,117,1,,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1002747,4,3,3,1,Pro,3,1,NA,NA,NA,NA,99,1,,4,4,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1002758,4,3,3,1,Pro,2,0,1,NA,NA,1,109,1,,4,NA,4,2,1,NA,NA,NA,NA,NA,NA,1,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1002765,4,3,3,1,Pro,2,0,1,NA,1,1,99,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1002838,5,4,5,1,Pro,1,0,1,NA,1,1,99,1,,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1002841,4,2,NA,1,Pro,3,0,1,NA,1,1,182,1,,4,4,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,NA,Not important
1002873,3,3,3,1,Pro,3,0,1,NA,2,2,122,1,,5,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1002900,4,3,4,1,Pro,4,0,3,NA,3,3,173,1,,3,4,3,2,1,1,1,1,1,1,1,1,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Important
1002904,4,4,4,1,Pro,3,0,1,NA,1,1,104,1,,4,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1002905,4,4,4,1,Pro,2,0,1,NA,NA,1,126,1,,4,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1002908,4,3,4,1,Pro,4,0,1,NA,1,1,118,3,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Important
1002946,4,2,4,1,Pro,2,0,1,NA,1,1,105,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,Low degree,High degree,Not important
1002960,4,4,4,1,Pro,4,0,1,NA,1,1,158,3,,4,4,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Important
1002975,3,4,3,1,Pro,4,0,1,NA,1,1,94,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,Low degree,Important
1002988,3,3,4,1,Pro,5,0,1,NA,1,1,272,1,,5,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,Low degree,High degree,Important
1003000,2,2,4,1,Pro,3,0,1,NA,1,1,113,1,,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,High degree,Not important
1003012,4,5,5,1,Pro,3,0,1,NA,1,1,117,1,,4,5,3,2,2,1,NA,NA,NA,NA,NA,NA,1,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1003023,2,4,3,1,Pro,2,0,1,NA,1,1,107,1,,3,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1003030,5,3,4,1,Pro,5,0,3,NA,3,3,296,3,,1,2,2,2,1,1,1,1,1,1,1,NA,1,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Important
1003033,4,4,4,1,Pro,2,0,1,NA,1,1,122,1,,4,4,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1003100,4,4,4,1,Pro,3,0,1,NA,1,1,118,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1003104,4,4,4,1,Pro,4,0,1,NA,4,4,120,1,,4,4,3,1,2,NA,1,NA,NA,NA,NA,NA,1,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Important
1003108,3,3,3,1,Pro,4,1,NA,NA,NA,NA,103,1,,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1003119,4,4,4,1,Pro,2,0,1,NA,1,1,108,1,,4,4,4,2,2,NA,NA,1,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Not important
1003126,4,3,4,1,Pro,3,0,1,NA,1,1,124,1,,4,4,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1003182,4,4,5,1,Pro,2,0,1,NA,1,1,99,3,,4,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,High degree,High degree,Not important
1003204,4,4,3,1,Pro,4,0,1,NA,NA,1,118,3,,3,3,3,2,1,NA,NA,1,NA,NA,NA,1,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,Low degree,Important
1003207,4,3,3,1,Pro,3,0,2,NA,2,2,127,1,,4,4,4,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,Low degree,Not important
1003243,4,3,2,1,Pro,2,0,1,NA,1,1,99,1,,4,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1003250,4,3,4,1,Pro,3,1,NA,NA,NA,NA,86,1,,5,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,High degree,Not important
1003260,5,4,4,1,Pro,2,0,1,NA,1,1,116,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1003262,3,3,3,1,Pro,4,0,1,NA,2,3,112,1,,3,3,3,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,Low degree,Low degree,Important
1003293,4,3,3,1,Pro,3,1,NA,NA,NA,NA,115,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,Low degree,Not important
1003294,3,3,NA,1,Pro,4,0,1,NA,2,3,108,1,,4,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,NA,Important
1003400,5,3,5,1,Pro,3,1,NA,NA,NA,NA,105,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Important,Low degree,High degree,Not important
1003406,4,3,4,1,Pro,3,1,NA,NA,NA,NA,113,1,,4,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1003483,3,4,3,1,Pro,5,0,1,NA,1,1,117,1,,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,Low degree,Important
1003582,3,4,4,1,Pro,3,0,1,NA,3,4,66,1,,4,4,3,2,1,NA,NA,1,1,1,1,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,High degree,Not important
1003650,NA,NA,NA,1,Pro,2,0,1,NA,1,1,79,1,,4,4,4,1,2,NA,1,1,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,NA,NA,NA,Not important
1003657,4,3,4,1,Pro,3,1,NA,NA,NA,NA,95,1,,4,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
1003671,4,3,4,1,Pro,3,1,NA,NA,NA,NA,116,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Not important
1003953,3,3,3,1,Pro,5,1,NA,NA,NA,NA,110,1,,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1004021,3,3,3,1,Pro,3,0,1,NA,1,1,109,1,,4,4,3,2,1,1,NA,NA,NA,NA,NA,NA,1,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1004026,4,4,4,1,Pro,2,1,NA,NA,NA,NA,106,1,,4,4,4,2,1,NA,NA,1,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1004052,3,2,3,1,Pro,2,0,1,NA,1,1,106,1,,4,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1004056,4,4,5,1,Pro,4,1,NA,NA,NA,NA,110,3,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Important
1004235,3,4,3,1,Pro,3,0,2,NA,NA,2,85,1,,4,5,3,1,2,1,1,1,1,1,1,NA,NA,video_proban_treat,Winner,Favorable,Correct,Not important,High degree,Low degree,Not important
1004346,4,3,4,1,Pro,5,1,NA,NA,NA,NA,124,1,,4,4,4,2,2,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,High degree,Important
1004401,2,2,3,1,Pro,4,0,1,NA,1,1,95,1,,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1004494,4,3,3,1,Pro,4,0,NA,NA,1,2,85,1,,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,Low degree,Low degree,Important
1004675,3,3,3,1,Pro,4,0,1,NA,1,1,198,1,,5,4,2,2,2,NA,1,1,1,1,1,1,1,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,Low degree,Low degree,Important
1004800,4,4,4,1,Pro,3,1,NA,NA,NA,NA,105,1,,5,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1004979,4,3,4,1,Pro,2,0,1,NA,1,1,91,1,,5,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,Low degree,High degree,Not important
1004998,3,4,4,1,Pro,4,0,1,NA,1,1,155,1,,4,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Not shown,Unfavorable,Correct,Not important,High degree,High degree,Important
1005093,4,4,4,1,Pro,3,1,NA,NA,NA,NA,108,1,,4,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1005095,5,4,4,1,Pro,4,0,1,NA,1,1,165,1,,4,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1005125,4,4,4,1,Pro,3,0,1,NA,1,1,100,3,,3,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1005140,2,3,4,1,Pro,3,0,1,NA,1,1,112,1,,5,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,Low degree,High degree,Not important
1005145,5,4,4,1,Pro,4,0,1,NA,NA,1,122,1,,4,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Important
1005171,4,4,3,1,Pro,2,0,1,NA,1,1,89,1,,4,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,Low degree,Not important
1005192,2,4,3,1,Pro,2,0,1,NA,1,1,100,1,,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1005204,3,4,3,1,Pro,2,0,1,NA,1,1,130,1,,4,4,3,2,2,NA,1,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1005263,4,4,4,1,Pro,NA,0,2,NA,3,3,119,1,,4,4,4,2,1,NA,NA,NA,NA,1,1,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,NA
1005270,4,4,4,1,Pro,3,0,1,NA,NA,1,95,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Not important
1005282,3,3,3,1,Pro,2,0,1,NA,1,1,104,1,,4,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,1,video_proban_treat,Lamenting politician,Unfavorable,Correct,Not important,Low degree,Low degree,Not important
1005316,4,4,4,1,Pro,3,0,1,NA,1,1,109,1,,4,4,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Not important
1005332,3,4,3,1,Pro,3,1,NA,NA,NA,NA,108,1,,4,4,4,2,2,NA,1,1,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Not important,High degree,Low degree,Not important
1005406,4,4,4,1,Pro,3,0,1,NA,1,1,112,1,,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1005437,NA,NA,NA,1,Pro,2,1,NA,NA,NA,NA,129,1,,4,5,4,2,1,NA,NA,NA,NA,1,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,NA,NA,NA,Not important
1005438,NA,NA,NA,1,Pro,3,1,NA,NA,NA,NA,111,1,,4,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,NA,NA,NA,Not important
1005518,4,4,4,1,Pro,2,0,2,NA,2,2,121,1,,4,4,4,2,2,1,NA,NA,NA,NA,1,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,Important,High degree,High degree,Not important
1005521,2,4,4,1,Pro,3,1,NA,NA,NA,NA,110,1,,3,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Specific prime,Unfavorable,Correct,Not important,High degree,High degree,Not important
1005558,5,4,4,1,Pro,3,0,1,NA,1,1,107,1,,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,Lamenting politician,Unfavorable,Correct,Important,High degree,High degree,Not important
1005609,4,4,4,1,Pro,5,1,NA,NA,NA,NA,94,1,,5,4,5,1,2,1,1,1,1,1,1,1,NA,video_proban_treat,Winner,Favorable,Correct,Important,High degree,High degree,Important
1005610,NA,NA,NA,1,Pro,2,0,1,NA,1,1,118,1,,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,video_proban_treat,General Prime,Unfavorable,Correct,NA,NA,NA,Not important
