"","responseid","r9pad1","r9pad2","r9pad3","r10panelpad","r10pad1","r10pad2","r10pad3_mobil","r10pad3a_ran","r10pad3b_ran","r10pad3ended","r10pad3error","r10pad3paused","r10pad3played","r10pad3_timespent","r10pad4","r10pad4_comment","r10pad5","r10pad6","r10pad7","r10pad8","r10pad9","r10pad1_9_backward_1","r10pad1_9_backward_2","r10pad1_9_backward_3","r10pad1_9_backward_4","r10pad1_9_backward_5","r10pad1_9_backward_6","r10pad1_9_backward_7","r10pad1_9_backward_8"
"34",1000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1000037,NA,NA,NA,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"39",1000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1000040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1000041,3,3,2,1,2,4,0,NA,1,NA,NA,NA,NA,6,5,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"43",1000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1000044,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"46",1000045,4,3,2,1,2,5,0,NA,2,1,NA,1,1,114,1,"",2,5,97,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"47",1000046,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1000047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1000048,NA,NA,NA,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"50",1000049,3,3,3,1,1,1,1,3,NA,NA,NA,NA,NA,155,1,"",2,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"51",1000050,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1000051,3,2,2,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"53",1000052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1000053,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"55",1000054,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"56",1000055,2,3,2,1,1,2,1,1,NA,NA,NA,NA,NA,92,1,"",2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"57",1000056,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1000057,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1000058,4,2,3,1,2,3,0,NA,2,1,NA,1,1,104,1,"",2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"60",1000059,98,98,98,0,98,98,NA,NA,NA,NA,NA,NA,NA,NA,98,"",98,98,98,98,98,NA,NA,NA,NA,NA,NA,NA,NA
"61",1000060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1000061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1000062,2,2,2,1,1,4,1,1,NA,NA,NA,NA,NA,94,1,"",2,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"64",1000063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
