"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"89",38,1,1,6,7,NA,7,1,NA,6,NA,6,NA,1
"90",54,1,2,7,7,NA,7,7,NA,7,NA,7,NA,1
"91",71,1,1,2,2,NA,3,2,NA,2,NA,6,NA,1
"92",67,1,2,7,2,NA,2,7,NA,7,NA,7,NA,1
"93",69,2,2,1,7,NA,7,7,NA,3,NA,7,NA,1
"94",73,1,2,6,7,NA,5,7,NA,7,NA,7,NA,1
"95",36,1,2,3,4,NA,3,5,NA,5,NA,6,NA,1
"96",33,2,2,2,6,NA,6,6,NA,7,NA,7,NA,1
"97",31,2,2,7,4,NA,4,7,NA,7,NA,7,NA,1
"98",69,1,1,2,7,NA,7,7,NA,7,NA,7,NA,1
"99",75,1,1,7,2,NA,2,2,NA,1,NA,6,NA,1
"100",27,1,2,5,6,NA,6,6,NA,6,NA,6,NA,1
"101",72,2,2,5,5,NA,5,5,NA,5,NA,6,NA,1
"102",83,2,1,7,1,NA,1,4,NA,2,NA,6,NA,1
"103",55,1,1,6,2,NA,1,7,NA,7,NA,4,NA,1
"104",26,2,2,4,4,NA,4,5,NA,7,NA,6,NA,1
"105",59,1,1,5,4,NA,4,4,NA,5,NA,5,NA,1
"106",80,2,1,4,2,NA,2,2,NA,1,NA,3,NA,1
"107",53,1,1,6,1,NA,1,3,NA,5,NA,4,NA,1
"108",69,1,2,2,7,NA,7,7,NA,7,NA,7,NA,1
"109",80,2,1,5,5,NA,4,4,NA,3,NA,4,NA,1
"110",57,2,1,1,4,NA,4,1,NA,5,NA,4,NA,1
"111",32,2,2,4,5,NA,4,7,NA,7,NA,7,NA,1
"112",50,1,2,6,6,NA,4,6,NA,6,NA,7,NA,1
"113",81,2,1,4,4,NA,4,1,NA,1,NA,1,NA,1
"114",55,2,2,3,3,NA,2,2,NA,2,NA,2,NA,1
"115",48,1,2,6,7,NA,7,6,NA,7,NA,5,NA,1
"116",41,2,1,2,4,NA,4,2,NA,4,NA,4,NA,1
"117",38,2,1,4,4,NA,4,1,NA,4,NA,4,NA,1
"118",41,1,1,4,2,NA,2,1,NA,5,NA,4,NA,1
"119",35,2,2,5,4,NA,2,5,NA,7,NA,7,NA,1
"120",28,2,1,6,2,NA,2,1,NA,1,NA,2,NA,1
"121",49,2,1,7,4,NA,4,4,NA,1,NA,1,NA,1
"122",35,2,1,7,1,NA,1,1,NA,1,NA,1,NA,1
"123",21,2,2,6,5,NA,7,5,NA,5,NA,6,NA,1
"124",59,1,1,3,7,NA,7,5,NA,7,NA,3,NA,1
"125",54,2,2,7,4,NA,4,7,NA,7,NA,7,NA,1
"126",68,2,2,2,4,NA,3,5,NA,7,NA,7,NA,1
"127",41,1,1,4,4,NA,4,4,NA,4,NA,4,NA,1
"128",49,1,2,2,4,NA,4,4,NA,5,NA,5,NA,1
"129",36,1,2,3,2,NA,2,2,NA,2,NA,4,NA,1
"130",82,2,1,1,1,NA,1,1,NA,1,NA,7,NA,1
"131",80,2,1,4,4,NA,4,4,NA,7,NA,7,NA,1
"132",78,1,2,2,7,NA,7,7,NA,7,NA,4,NA,1
"133",78,2,2,7,3,NA,4,2,NA,3,NA,3,NA,1
"134",77,1,2,6,5,NA,5,6,NA,6,NA,6,NA,1
"135",75,1,2,2,2,NA,2,1,NA,5,NA,4,NA,1
"136",75,2,2,1,6,NA,6,7,NA,7,NA,7,NA,1
"137",73,2,2,6,5,NA,3,7,NA,7,NA,7,NA,1
"138",72,2,2,3,3,NA,3,3,NA,3,NA,3,NA,1
"139",71,2,2,4,6,NA,6,5,NA,6,NA,7,NA,1
"140",69,1,2,4,7,NA,6,7,NA,7,NA,7,NA,1
"141",69,2,2,6,6,NA,6,6,NA,7,NA,3,NA,1
"142",68,1,1,5,3,NA,3,2,NA,2,NA,2,NA,1
"143",66,2,2,7,6,NA,6,7,NA,7,NA,7,NA,1
"144",65,2,2,3,1,NA,1,4,NA,2,NA,6,NA,1
"145",64,1,2,4,6,NA,7,6,NA,6,NA,6,NA,1
"146",64,2,2,3,6,NA,5,4,NA,7,NA,6,NA,1
"147",63,1,1,6,7,NA,6,7,NA,7,NA,7,NA,1
"148",63,2,1,6,4,NA,4,1,NA,4,NA,4,NA,1
"149",62,1,2,4,7,NA,5,7,NA,7,NA,7,NA,1
"150",62,1,1,4,1,NA,1,1,NA,1,NA,4,NA,1
"151",62,1,2,7,7,NA,6,7,NA,7,NA,7,NA,1
"152",61,1,2,2,4,NA,4,6,NA,7,NA,7,NA,1
"153",61,2,2,5,7,NA,7,7,NA,7,NA,7,NA,1
"154",61,1,2,6,4,NA,5,4,NA,6,NA,6,NA,1
"155",59,2,2,7,1,NA,1,1,NA,7,NA,7,NA,1
"156",57,1,2,3,4,NA,5,5,NA,5,NA,5,NA,1
"157",55,1,2,5,5,NA,5,7,NA,7,NA,7,NA,1
"158",54,1,2,2,7,NA,7,7,NA,7,NA,7,NA,1
"159",52,2,2,7,7,NA,7,7,NA,7,NA,7,NA,1
"160",50,2,1,3,3,NA,3,6,NA,6,NA,7,NA,1
"161",45,1,2,4,3,NA,4,6,NA,5,NA,3,NA,1
"162",45,1,2,4,5,NA,5,7,NA,7,NA,7,NA,1
"163",43,1,2,6,4,NA,4,7,NA,7,NA,7,NA,1
"164",42,2,2,5,2,NA,3,7,NA,7,NA,7,NA,1
"165",41,1,2,4,5,NA,5,6,NA,6,NA,7,NA,1
"166",41,1,2,2,6,NA,6,4,NA,1,NA,6,NA,1
"167",39,1,2,5,5,NA,5,5,NA,5,NA,5,NA,1
"168",38,1,1,5,5,NA,5,7,NA,7,NA,7,NA,1
"169",46,2,2,4,4,NA,3,5,NA,5,NA,7,NA,1
"170",34,1,2,5,4,NA,4,5,NA,6,NA,5,NA,1
"171",21,1,2,2,4,NA,4,5,NA,7,NA,7,NA,1
"172",29,1,1,7,4,NA,4,1,NA,2,NA,1,NA,1
"173",27,1,1,3,3,NA,4,3,NA,5,NA,4,NA,1
"174",22,2,1,3,3,NA,3,3,NA,2,NA,2,NA,1
"175",19,2,1,1,4,NA,4,4,NA,4,NA,4,NA,1
"176",19,2,2,4,3,NA,4,6,NA,6,NA,6,NA,1
"177",19,1,1,2,4,NA,3,4,NA,5,NA,6,NA,1
"178",19,2,1,4,2,NA,2,4,NA,2,NA,4,NA,1
"179",40,2,2,4,3,NA,3,3,NA,3,NA,3,NA,2
"180",76,2,2,4,5,NA,5,4,NA,5,NA,4,NA,2
"181",59,1,1,3,5,NA,4,7,NA,7,NA,7,NA,2
"182",21,1,1,2,3,NA,3,3,NA,4,NA,4,NA,2
"183",50,1,1,3,7,NA,5,4,NA,6,NA,7,NA,2
"184",68,2,2,5,7,NA,1,7,NA,7,NA,1,NA,2
"185",72,1,2,3,4,NA,4,4,NA,5,NA,5,NA,2
"186",68,2,1,5,7,NA,6,1,NA,5,NA,5,NA,2
"187",45,1,2,2,3,NA,5,2,NA,5,NA,6,NA,2
