"","Q64","Q63","S3_1_1","S3_2_1","S3_4_1_1","S3_4_1_2","S3_5_1","S3_6_1_1","S3_6_1_2","S3_7_1_1","S3_7_1_2","S3_8_1_1","S3_8_1_2","Studie3sel"
"385",54,2,2,5,5,NA,4,5,NA,7,NA,7,NA,3
"386",64,2,1,4,4,NA,4,4,NA,4,NA,4,NA,3
"387",53,2,2,4,6,NA,4,6,NA,7,NA,7,NA,3
"388",47,2,2,6,5,NA,5,7,NA,7,NA,7,NA,3
"389",59,2,2,3,5,NA,4,5,NA,5,NA,5,NA,3
"390",70,2,1,5,2,NA,2,1,NA,2,NA,2,NA,3
"391",44,1,1,4,2,NA,2,2,NA,3,NA,3,NA,3
"392",53,1,1,6,1,NA,3,5,NA,6,NA,7,NA,3
"393",21,1,1,1,3,NA,3,5,NA,5,NA,5,NA,3
"394",83,2,2,4,5,NA,6,7,NA,7,NA,7,NA,3
"395",50,2,2,4,3,NA,3,5,NA,5,NA,6,NA,3
"396",49,1,2,1,4,NA,4,7,NA,7,NA,7,NA,3
"397",74,2,1,5,4,NA,5,7,NA,4,NA,7,NA,3
"398",43,2,2,2,5,NA,5,5,NA,5,NA,6,NA,3
"399",31,1,2,3,6,NA,3,6,NA,7,NA,6,NA,3
"400",47,2,1,1,4,NA,3,4,NA,1,NA,1,NA,3
"401",50,1,1,4,5,NA,5,2,NA,5,NA,3,NA,3
"402",74,2,2,7,5,NA,5,7,NA,7,NA,7,NA,3
"403",67,1,2,6,6,NA,6,6,NA,6,NA,7,NA,3
"404",50,2,1,6,6,NA,5,6,NA,3,NA,5,NA,3
"405",50,1,2,4,6,NA,6,7,NA,7,NA,7,NA,3
"406",29,2,2,3,3,NA,3,2,NA,2,NA,4,NA,3
"407",65,1,2,4,4,NA,4,7,NA,6,NA,6,NA,3
"408",33,2,2,5,7,NA,7,6,NA,7,NA,7,NA,3
"409",69,2,2,5,5,NA,5,7,NA,7,NA,7,NA,3
"410",53,2,2,3,4,NA,4,5,NA,5,NA,6,NA,3
"411",75,1,1,1,2,NA,7,3,NA,3,NA,2,NA,3
"412",75,2,2,3,6,NA,7,2,NA,5,NA,1,NA,3
"413",56,2,2,5,5,NA,3,7,NA,7,NA,7,NA,3
"414",29,1,1,2,2,NA,3,3,NA,3,NA,3,NA,3
"415",69,1,2,6,6,NA,6,6,NA,7,NA,7,NA,3
"416",41,1,2,2,7,NA,7,4,NA,7,NA,7,NA,3
"417",41,1,1,3,4,NA,4,1,NA,1,NA,1,NA,3
"418",34,2,1,6,3,NA,2,1,NA,4,NA,4,NA,3
"419",38,1,1,7,4,NA,6,1,NA,4,NA,4,NA,3
"420",40,1,1,5,2,NA,2,7,NA,7,NA,7,NA,3
"421",68,1,1,2,1,NA,2,1,NA,1,NA,2,NA,3
"422",66,2,2,3,3,NA,3,6,NA,6,NA,5,NA,3
"423",71,2,2,3,5,NA,5,6,NA,6,NA,6,NA,3
"424",76,2,1,6,4,NA,4,1,NA,5,NA,3,NA,3
"425",64,2,1,5,5,NA,6,7,NA,7,NA,7,NA,3
"426",70,2,2,3,7,NA,6,7,NA,7,NA,6,NA,3
"427",54,2,2,7,4,NA,4,7,NA,7,NA,7,NA,3
"428",45,1,2,3,5,NA,4,7,NA,7,NA,7,NA,3
"429",68,1,2,3,4,NA,3,4,NA,4,NA,4,NA,3
"430",66,2,2,5,4,NA,4,6,NA,6,NA,6,NA,3
"431",72,2,2,1,7,NA,7,7,NA,7,NA,7,NA,3
"432",60,1,2,4,5,NA,5,6,NA,6,NA,7,NA,3
"433",27,1,2,2,3,NA,2,5,NA,6,NA,4,NA,3
"434",52,1,2,4,2,NA,2,4,NA,5,NA,4,NA,3
"435",47,2,2,7,5,NA,7,7,NA,7,NA,7,NA,3
"436",86,2,2,4,3,NA,3,4,NA,4,NA,4,NA,3
"437",73,1,1,1,3,NA,3,1,NA,3,NA,3,NA,3
"438",60,1,2,3,4,NA,4,5,NA,6,NA,1,NA,3
"439",75,2,2,6,6,NA,4,4,NA,6,NA,7,NA,3
"440",30,1,2,4,5,NA,4,7,NA,7,NA,6,NA,3
"441",67,2,2,4,4,NA,3,3,NA,7,NA,5,NA,3
"442",66,1,1,4,5,NA,5,6,NA,7,NA,7,NA,3
"443",55,1,1,3,2,NA,1,1,NA,3,NA,2,NA,3
"444",64,2,1,7,5,NA,5,2,NA,2,NA,3,NA,3
"445",48,2,2,3,2,NA,1,4,NA,5,NA,4,NA,3
"446",31,1,2,5,5,NA,4,7,NA,7,NA,7,NA,3
"447",42,1,2,3,5,NA,4,6,NA,6,NA,6,NA,3
"448",71,2,2,5,5,NA,4,6,NA,5,NA,4,NA,3
"449",54,2,2,3,3,NA,4,4,NA,5,NA,5,NA,3
"450",68,1,2,2,5,NA,5,5,NA,6,NA,6,NA,3
"451",48,1,2,5,6,NA,6,7,NA,7,NA,6,NA,3
"452",46,2,2,7,7,NA,5,7,NA,7,NA,7,NA,3
"453",26,1,2,4,2,NA,4,1,NA,1,NA,3,NA,3
"454",58,2,2,5,5,NA,5,7,NA,7,NA,7,NA,3
"455",28,2,1,3,2,NA,1,3,NA,6,NA,7,NA,3
"456",25,1,2,6,7,NA,7,7,NA,7,NA,1,NA,3
"457",24,1,2,1,4,NA,3,4,NA,4,NA,5,NA,3
"458",57,2,2,4,4,NA,4,4,NA,6,NA,6,NA,3
"459",41,1,2,5,3,NA,3,6,NA,7,NA,7,NA,3
"460",82,2,1,3,4,NA,4,4,NA,7,NA,7,NA,3
"461",42,1,1,5,4,NA,4,6,NA,4,NA,5,NA,3
"462",69,2,1,1,1,NA,5,4,NA,4,NA,4,NA,3
"463",31,1,1,5,1,NA,1,1,NA,1,NA,2,NA,3
"464",83,2,1,4,3,NA,3,4,NA,5,NA,5,NA,3
"465",82,2,2,7,6,NA,7,7,NA,7,NA,7,NA,3
"466",81,2,2,3,4,NA,4,6,NA,7,NA,7,NA,3
"467",78,2,1,4,2,NA,3,2,NA,2,NA,2,NA,3
"468",76,2,2,1,4,NA,4,6,NA,7,NA,7,NA,3
"469",76,1,1,2,5,NA,5,2,NA,6,NA,6,NA,3
"470",76,2,2,7,1,NA,5,7,NA,1,NA,5,NA,3
"471",75,2,1,7,4,NA,4,1,NA,1,NA,1,NA,3
"472",74,2,2,7,4,NA,5,6,NA,7,NA,7,NA,3
"473",74,2,1,5,4,NA,4,1,NA,1,NA,4,NA,3
"474",74,1,1,3,3,NA,4,4,NA,4,NA,4,NA,3
"475",74,2,2,5,7,NA,6,7,NA,7,NA,7,NA,3
"476",73,1,1,7,2,NA,3,1,NA,1,NA,1,NA,3
"477",72,1,2,5,5,NA,5,6,NA,7,NA,7,NA,3
"478",71,1,2,5,7,NA,7,7,NA,7,NA,7,NA,3
"479",70,1,1,1,5,NA,5,5,NA,5,NA,5,NA,3
"480",70,2,2,4,4,NA,4,4,NA,6,NA,4,NA,3
"481",69,2,2,7,7,NA,7,7,NA,7,NA,7,NA,3
"482",68,2,2,7,7,NA,6,7,NA,7,NA,7,NA,3
"483",68,2,1,4,3,NA,3,2,NA,2,NA,4,NA,3
"484",68,2,2,4,4,NA,4,5,NA,7,NA,7,NA,3
"485",68,2,2,5,5,NA,6,7,NA,7,NA,7,NA,3
"486",65,1,2,5,3,NA,3,3,NA,5,NA,5,NA,3
"487",NA,1,2,7,7,NA,7,7,NA,7,NA,7,NA,3
"488",64,2,2,2,1,NA,1,4,NA,5,NA,5,NA,3
"489",61,1,2,5,5,NA,5,5,NA,6,NA,7,NA,3
"490",59,1,2,1,7,NA,6,6,NA,6,NA,5,NA,3
"491",58,2,2,5,6,NA,6,7,NA,7,NA,7,NA,3
"492",57,1,1,5,5,NA,5,6,NA,6,NA,6,NA,3
"493",56,1,2,6,7,NA,7,7,NA,7,NA,7,NA,3
"494",55,2,2,4,6,NA,6,7,NA,7,NA,7,NA,3
"495",54,1,1,2,3,NA,3,3,NA,4,NA,3,NA,3
"496",53,2,1,2,4,NA,1,1,NA,1,NA,4,NA,3
"497",52,1,2,2,5,NA,4,5,NA,4,NA,5,NA,3
"498",48,1,1,3,7,NA,5,2,NA,6,NA,6,NA,3
"499",46,2,1,3,6,NA,6,4,NA,6,NA,7,NA,3
"500",42,2,2,6,4,NA,5,6,NA,6,NA,7,NA,3
"501",41,2,2,3,3,NA,4,5,NA,4,NA,4,NA,3
"502",41,1,1,2,1,NA,3,2,NA,3,NA,4,NA,3
"503",40,2,1,2,2,NA,1,2,NA,6,NA,4,NA,3
"504",39,1,1,3,6,NA,6,2,NA,5,NA,3,NA,3
"505",36,2,1,2,4,NA,4,5,NA,5,NA,6,NA,3
"506",34,2,2,5,2,NA,1,4,NA,4,NA,4,NA,3
"507",34,2,1,1,4,NA,2,4,NA,5,NA,7,NA,3
"508",33,1,2,4,4,NA,4,4,NA,4,NA,4,NA,3
"509",30,1,2,4,4,NA,4,6,NA,6,NA,7,NA,3
"510",29,1,2,5,6,NA,5,5,NA,6,NA,5,NA,3
"511",29,1,2,5,4,NA,4,5,NA,5,NA,6,NA,3
"512",28,2,1,4,1,NA,1,1,NA,4,NA,4,NA,3
"513",26,1,1,5,2,NA,3,1,NA,3,NA,3,NA,3
"514",26,2,1,2,4,NA,4,4,NA,4,NA,4,NA,3
"515",24,2,2,7,5,NA,4,6,NA,5,NA,7,NA,3
"516",23,2,2,5,6,NA,5,6,NA,7,NA,7,NA,3
"517",22,2,1,3,1,NA,2,2,NA,2,NA,3,NA,3
"518",21,1,1,2,3,NA,3,2,NA,3,NA,3,NA,3
"519",21,1,1,6,1,NA,2,1,NA,1,NA,2,NA,3
"520",20,1,1,5,3,NA,2,5,NA,6,NA,4,NA,3
"521",19,1,2,5,5,NA,5,5,NA,6,NA,6,NA,3
"522",19,1,2,1,3,NA,2,7,NA,7,NA,7,NA,3
"523",19,2,2,3,4,NA,4,5,NA,5,NA,4,NA,3
"524",29,1,2,3,NA,3,3,NA,4,NA,6,NA,5,4
"525",40,1,2,6,NA,4,5,NA,1,NA,6,NA,5,4
"526",74,2,1,4,NA,4,4,NA,6,NA,7,NA,5,4
"527",43,1,2,3,NA,4,4,NA,5,NA,5,NA,6,4
"528",41,2,1,3,NA,6,5,NA,6,NA,6,NA,6,4
"529",76,2,2,3,NA,4,4,NA,2,NA,1,NA,3,4
"530",66,1,1,3,NA,3,3,NA,2,NA,6,NA,4,4
"531",31,1,1,5,NA,3,4,NA,6,NA,5,NA,4,4
"532",61,1,1,3,NA,5,4,NA,5,NA,5,NA,4,4
"533",72,1,1,1,NA,5,5,NA,1,NA,2,NA,3,4
"534",68,1,2,7,NA,1,1,NA,1,NA,1,NA,1,4
"535",41,1,2,4,NA,1,3,NA,2,NA,2,NA,3,4
"536",55,2,1,2,NA,6,4,NA,4,NA,7,NA,1,4
"537",68,2,1,2,NA,1,2,NA,6,NA,6,NA,7,4
"538",46,1,2,6,NA,3,3,NA,1,NA,5,NA,3,4
"539",54,1,2,5,NA,4,4,NA,2,NA,2,NA,4,4
"540",74,2,2,7,NA,1,1,NA,1,NA,3,NA,2,4
"541",51,2,2,3,NA,3,3,NA,3,NA,2,NA,3,4
"542",20,2,2,5,NA,4,4,NA,2,NA,5,NA,1,4
"543",59,1,1,3,NA,6,6,NA,6,NA,7,NA,6,4
"544",46,1,2,4,NA,4,4,NA,2,NA,4,NA,4,4
"545",38,1,1,6,NA,6,6,NA,7,NA,7,NA,7,4
"546",78,1,2,7,NA,7,7,NA,1,NA,7,NA,7,4
"547",58,2,2,5,NA,4,4,NA,4,NA,4,NA,4,4
"548",62,2,2,1,NA,1,1,NA,1,NA,1,NA,7,4
"549",35,2,2,4,NA,3,5,NA,2,NA,3,NA,4,4
"550",47,2,1,1,NA,4,3,NA,3,NA,3,NA,3,4
"551",26,1,1,2,NA,5,5,NA,6,NA,7,NA,7,4
"552",38,2,2,2,NA,5,5,NA,4,NA,6,NA,6,4
"553",66,1,2,7,NA,3,3,NA,1,NA,1,NA,1,4
"554",67,1,1,2,NA,2,5,NA,6,NA,7,NA,7,4
"555",74,1,1,1,NA,7,7,NA,7,NA,7,NA,7,4
"556",58,2,2,3,NA,6,6,NA,2,NA,5,NA,4,4
"557",38,1,1,4,NA,4,5,NA,4,NA,5,NA,5,4
"558",46,1,1,7,NA,7,7,NA,7,NA,7,NA,7,4
"559",45,2,1,5,NA,2,5,NA,4,NA,5,NA,4,4
"560",25,2,1,3,NA,4,5,NA,6,NA,7,NA,7,4
"561",37,1,1,1,NA,4,4,NA,4,NA,7,NA,7,4
"562",60,1,2,7,NA,1,1,NA,1,NA,1,NA,2,4
"563",23,1,1,5,NA,5,4,NA,7,NA,7,NA,7,4
"564",48,1,1,5,NA,6,5,NA,7,NA,7,NA,7,4
"565",64,2,2,4,NA,1,7,NA,1,NA,2,NA,1,4
"566",84,1,1,7,NA,7,7,NA,7,NA,7,NA,7,4
"567",50,2,1,2,NA,7,7,NA,5,NA,6,NA,7,4
"568",74,1,1,5,NA,7,5,NA,7,NA,7,NA,7,4
"569",63,1,1,5,NA,4,4,NA,4,NA,7,NA,7,4
"570",28,2,1,2,NA,7,4,NA,5,NA,6,NA,6,4
"571",59,2,2,4,NA,7,7,NA,4,NA,6,NA,4,4
"572",31,2,2,4,NA,6,6,NA,4,NA,7,NA,7,4
"573",70,1,2,5,NA,5,5,NA,3,NA,5,NA,3,4
"574",20,1,2,4,NA,5,5,NA,4,NA,6,NA,2,4
"575",59,2,2,5,NA,4,4,NA,1,NA,4,NA,4,4
"576",48,2,2,6,NA,3,3,NA,3,NA,7,NA,7,4
"577",70,1,2,5,NA,4,3,NA,3,NA,4,NA,6,4
"578",65,1,2,4,NA,4,2,NA,2,NA,2,NA,2,4
"579",21,2,2,5,NA,5,4,NA,2,NA,4,NA,3,4
"580",48,2,2,3,NA,6,6,NA,3,NA,6,NA,6,4
"581",34,2,2,3,NA,5,5,NA,4,NA,7,NA,7,4
"582",56,2,1,1,NA,6,4,NA,4,NA,7,NA,7,4
"583",30,2,1,3,NA,6,6,NA,5,NA,7,NA,7,4
"584",53,1,2,3,NA,3,3,NA,3,NA,3,NA,3,4
"585",58,2,2,4,NA,4,4,NA,4,NA,4,NA,4,4
"586",74,1,2,7,NA,7,5,NA,1,NA,7,NA,3,4
"587",47,1,2,2,NA,5,4,NA,2,NA,6,NA,4,4
"588",46,1,1,5,NA,6,4,NA,6,NA,6,NA,4,4
"589",67,2,1,4,NA,4,4,NA,4,NA,4,NA,4,4
"590",29,2,2,7,NA,1,5,NA,1,NA,1,NA,1,4
"591",65,1,1,1,NA,6,6,NA,7,NA,7,NA,7,4
"592",69,2,1,7,NA,3,3,NA,2,NA,4,NA,3,4
"593",29,2,1,2,NA,4,4,NA,6,NA,7,NA,7,4
"594",54,2,1,3,NA,4,4,NA,7,NA,7,NA,7,4
"595",69,2,1,7,NA,5,4,NA,1,NA,1,NA,2,4
"596",52,2,2,4,NA,7,7,NA,1,NA,4,NA,7,4
"597",35,2,1,6,NA,4,4,NA,7,NA,7,NA,7,4
"598",32,2,2,2,NA,7,7,NA,4,NA,7,NA,7,4
"599",42,1,1,4,NA,5,4,NA,4,NA,1,NA,3,4
"600",37,2,2,4,NA,7,6,NA,4,NA,4,NA,4,4
"601",65,2,1,2,NA,6,5,NA,3,NA,4,NA,5,4
"602",72,1,2,2,NA,4,4,NA,4,NA,5,NA,4,4
"603",19,2,1,7,NA,3,2,NA,7,NA,7,NA,7,4
"604",65,2,1,3,NA,4,2,NA,5,NA,7,NA,7,4
"605",46,1,2,3,NA,7,2,NA,5,NA,7,NA,4,4
"606",49,1,2,5,NA,2,2,NA,1,NA,1,NA,1,4
"607",61,1,1,3,NA,5,5,NA,6,NA,2,NA,3,4
"608",55,1,2,5,NA,2,3,NA,2,NA,3,NA,4,4
"609",NA,2,1,1,NA,4,4,NA,5,NA,7,NA,7,4
"610",62,2,2,4,NA,6,6,NA,5,NA,6,NA,6,4
"611",55,2,2,5,NA,5,5,NA,5,NA,3,NA,5,4
"612",36,1,2,1,NA,2,2,NA,2,NA,4,NA,4,4
"613",80,2,1,5,NA,7,7,NA,5,NA,7,NA,7,4
"614",66,2,1,4,NA,1,7,NA,1,NA,6,NA,3,4
"615",72,1,2,6,NA,3,3,NA,3,NA,3,NA,3,4
"616",35,2,2,5,NA,4,4,NA,1,NA,2,NA,4,4
"617",35,2,2,6,NA,4,4,NA,3,NA,7,NA,7,4
"618",64,1,2,7,NA,5,6,NA,1,NA,1,NA,5,4
"619",34,2,2,4,NA,3,3,NA,4,NA,7,NA,7,4
"620",25,2,1,5,NA,4,4,NA,5,NA,6,NA,6,4
"621",53,2,1,5,NA,4,4,NA,2,NA,6,NA,2,4
"622",43,1,1,7,NA,1,1,NA,1,NA,1,NA,1,4
"623",21,2,1,4,NA,3,3,NA,2,NA,3,NA,4,4
"624",77,1,2,4,NA,5,5,NA,4,NA,4,NA,4,4
"625",49,2,2,1,NA,1,1,NA,3,NA,4,NA,4,4
"626",19,1,1,3,NA,6,5,NA,6,NA,7,NA,7,4
"627",30,1,1,3,NA,6,5,NA,7,NA,7,NA,1,4
"628",34,2,1,4,NA,4,3,NA,4,NA,7,NA,7,4
"629",30,2,2,1,NA,3,4,NA,1,NA,7,NA,7,4
"630",37,2,2,5,NA,2,4,NA,4,NA,2,NA,4,4
"631",48,2,2,1,NA,3,2,NA,1,NA,7,NA,4,4
"632",48,1,2,4,NA,6,4,NA,2,NA,3,NA,7,4
"633",47,2,2,5,NA,2,3,NA,2,NA,4,NA,7,4
"634",85,2,2,6,NA,4,3,NA,3,NA,4,NA,6,4
"635",85,1,2,1,NA,4,4,NA,1,NA,1,NA,6,4
"636",81,1,2,4,NA,1,1,NA,1,NA,4,NA,2,4
"637",78,2,2,1,NA,1,7,NA,7,NA,1,NA,7,4
"638",77,2,2,7,NA,1,4,NA,1,NA,1,NA,4,4
"639",76,1,2,2,NA,5,5,NA,3,NA,4,NA,3,4
"640",74,1,1,3,NA,4,1,NA,3,NA,1,NA,7,4
"641",74,2,2,1,NA,3,3,NA,3,NA,5,NA,6,4
"642",72,2,2,3,NA,3,2,NA,3,NA,6,NA,5,4
"643",71,2,1,2,NA,6,6,NA,6,NA,7,NA,7,4
"644",71,1,2,7,NA,7,7,NA,1,NA,1,NA,1,4
"645",71,2,2,5,NA,2,3,NA,1,NA,1,NA,1,4
"646",71,1,2,3,NA,7,5,NA,3,NA,4,NA,6,4
"647",69,1,2,4,NA,7,7,NA,7,NA,7,NA,3,4
"648",69,2,1,7,NA,7,7,NA,7,NA,7,NA,7,4
"649",68,2,2,2,NA,4,4,NA,4,NA,7,NA,7,4
"650",65,1,1,4,NA,3,3,NA,3,NA,3,NA,4,4
"651",64,1,1,3,NA,5,5,NA,5,NA,5,NA,4,4
"652",64,1,2,3,NA,5,4,NA,3,NA,5,NA,5,4
"653",64,1,2,7,NA,1,1,NA,1,NA,7,NA,3,4
"654",64,1,2,4,NA,4,3,NA,5,NA,7,NA,7,4
"655",64,2,1,5,NA,5,3,NA,7,NA,7,NA,7,4
"656",63,2,1,7,NA,6,6,NA,7,NA,7,NA,7,4
"657",62,2,2,6,NA,3,3,NA,2,NA,1,NA,2,4
"658",61,2,2,6,NA,6,6,NA,3,NA,6,NA,7,4
"659",60,1,1,5,NA,7,3,NA,7,NA,7,NA,5,4
"660",60,2,2,3,NA,4,4,NA,4,NA,6,NA,7,4
"661",58,2,1,4,NA,7,6,NA,5,NA,7,NA,6,4
"662",56,1,1,3,NA,1,1,NA,7,NA,7,NA,7,4
"663",56,1,2,5,NA,6,6,NA,3,NA,5,NA,3,4
"664",55,1,2,4,NA,3,3,NA,2,NA,4,NA,4,4
"665",54,2,1,2,NA,7,7,NA,7,NA,7,NA,7,4
"666",54,1,2,4,NA,5,5,NA,3,NA,7,NA,4,4
"667",52,1,2,1,NA,7,7,NA,1,NA,7,NA,7,4
"668",51,2,1,6,NA,4,2,NA,3,NA,7,NA,1,4
"669",50,1,2,6,NA,6,6,NA,7,NA,1,NA,6,4
"670",50,2,1,3,NA,6,6,NA,6,NA,6,NA,6,4
"671",50,2,1,3,NA,5,5,NA,7,NA,7,NA,7,4
"672",50,1,2,6,NA,2,3,NA,1,NA,3,NA,2,4
"673",48,2,1,1,NA,7,4,NA,4,NA,7,NA,7,4
"674",42,2,1,6,NA,1,3,NA,3,NA,7,NA,4,4
"675",41,2,2,2,NA,4,4,NA,5,NA,5,NA,5,4
"676",40,2,2,4,NA,2,2,NA,2,NA,6,NA,7,4
"677",39,1,1,4,NA,6,4,NA,7,NA,7,NA,7,4
"678",38,1,1,1,NA,7,6,NA,4,NA,7,NA,7,4
"679",35,1,2,4,NA,4,4,NA,4,NA,4,NA,7,4
"680",34,2,1,2,NA,3,1,NA,4,NA,6,NA,5,4
"681",33,2,2,4,NA,5,4,NA,3,NA,4,NA,4,4
"682",39,1,2,5,NA,4,4,NA,5,NA,5,NA,5,4
"683",32,1,1,2,NA,5,5,NA,4,NA,7,NA,7,4
"684",32,2,2,5,NA,5,5,NA,1,NA,7,NA,5,4
"685",32,2,2,1,NA,2,2,NA,2,NA,4,NA,4,4
"686",32,2,1,3,NA,4,2,NA,3,NA,2,NA,2,4
"687",25,2,1,4,NA,4,4,NA,7,NA,7,NA,7,4
"688",24,1,2,3,NA,7,5,NA,3,NA,6,NA,5,4
"689",22,2,2,3,NA,4,4,NA,3,NA,5,NA,4,4
"690",20,2,1,5,NA,2,2,NA,4,NA,6,NA,4,4
"691",20,1,1,4,NA,2,3,NA,6,NA,6,NA,6,4
"692",18,1,2,4,NA,7,6,NA,5,NA,7,NA,6,4
"693",40,1,2,3,NA,5,4,NA,2,NA,7,NA,4,5
"694",75,1,2,7,NA,1,1,NA,1,NA,1,NA,1,5
"695",69,1,2,4,NA,5,5,NA,5,NA,5,NA,5,5
"696",71,1,2,1,NA,2,2,NA,2,NA,2,NA,4,5
"697",56,2,1,3,NA,6,6,NA,6,NA,7,NA,7,5
"698",69,2,1,1,NA,7,6,NA,7,NA,6,NA,7,5
"699",24,2,1,4,NA,7,7,NA,5,NA,7,NA,6,5
"700",65,1,1,1,NA,2,5,NA,2,NA,6,NA,4,5
"701",40,2,1,6,NA,1,1,NA,5,NA,5,NA,6,5
"702",65,1,1,6,NA,4,3,NA,2,NA,6,NA,2,5
"703",71,1,1,2,NA,3,3,NA,1,NA,2,NA,4,5
"704",50,1,1,3,NA,6,6,NA,5,NA,6,NA,5,5
"705",76,2,2,1,NA,3,3,NA,3,NA,3,NA,3,5
"706",46,1,1,1,NA,3,3,NA,3,NA,4,NA,4,5
"707",62,1,2,2,NA,3,4,NA,3,NA,4,NA,4,5
"708",27,2,2,3,NA,4,4,NA,3,NA,7,NA,7,5
"709",45,1,2,5,NA,5,5,NA,2,NA,2,NA,1,5
"710",69,2,2,2,NA,4,4,NA,4,NA,4,NA,4,5
"711",29,2,1,4,NA,4,3,NA,5,NA,6,NA,4,5
"712",47,1,1,1,NA,4,4,NA,4,NA,5,NA,6,5
"713",74,2,1,6,NA,3,3,NA,2,NA,2,NA,2,5
"714",71,1,2,4,NA,4,4,NA,4,NA,4,NA,4,5
"715",56,2,2,7,NA,1,1,NA,1,NA,1,NA,3,5
"716",47,2,2,2,NA,7,6,NA,4,NA,7,NA,7,5
"717",53,2,2,5,NA,3,3,NA,3,NA,4,NA,6,5
"718",59,1,2,2,NA,4,4,NA,2,NA,5,NA,4,5
"719",25,2,1,4,NA,6,6,NA,7,NA,7,NA,7,5
"720",72,2,1,3,NA,7,7,NA,4,NA,6,NA,4,5
"721",56,1,2,4,NA,4,4,NA,3,NA,4,NA,6,5
"722",72,2,1,3,NA,4,4,NA,4,NA,5,NA,6,5
"723",32,2,2,5,NA,5,5,NA,3,NA,4,NA,7,5
"724",27,1,1,5,NA,3,4,NA,6,NA,7,NA,7,5
"725",55,1,1,1,NA,1,1,NA,1,NA,1,NA,2,5
"726",49,1,2,7,NA,1,2,NA,1,NA,1,NA,1,5
"727",24,1,2,1,NA,3,5,NA,5,NA,7,NA,7,5
"728",65,2,1,6,NA,3,2,NA,7,NA,7,NA,5,5
"729",26,1,1,6,NA,4,3,NA,7,NA,6,NA,6,5
"730",48,2,1,3,NA,7,7,NA,7,NA,7,NA,7,5
"731",75,1,2,4,NA,4,5,NA,2,NA,2,NA,4,5
"732",43,1,2,5,NA,6,4,NA,1,NA,1,NA,4,5
"733",58,2,2,5,NA,5,5,NA,5,NA,7,NA,7,5
"734",75,2,1,4,NA,7,6,NA,3,NA,6,NA,5,5
"735",72,1,1,5,NA,4,4,NA,3,NA,4,NA,4,5
"736",46,1,2,2,NA,7,7,NA,4,NA,7,NA,7,5
"737",70,2,2,7,NA,6,3,NA,6,NA,4,NA,7,5
"738",52,1,1,2,NA,7,7,NA,6,NA,7,NA,7,5
"739",51,2,2,4,NA,5,4,NA,4,NA,7,NA,4,5
"740",52,2,2,2,NA,6,7,NA,4,NA,7,NA,7,5
"741",26,2,1,1,NA,4,4,NA,5,NA,5,NA,7,5
"742",43,2,2,3,NA,6,5,NA,2,NA,7,NA,6,5
"743",53,2,1,4,NA,5,3,NA,3,NA,3,NA,4,5
"744",51,2,1,6,NA,6,2,NA,7,NA,7,NA,7,5
"745",58,1,1,3,NA,3,6,NA,6,NA,5,NA,7,5
"746",85,1,1,4,NA,4,4,NA,3,NA,3,NA,6,5
"747",21,1,1,5,NA,5,6,NA,7,NA,7,NA,7,5
"748",29,2,1,3,NA,3,3,NA,1,NA,2,NA,3,5
"749",34,1,2,7,NA,2,1,NA,2,NA,7,NA,7,5
"750",74,1,1,1,NA,7,4,NA,6,NA,7,NA,7,5
"751",64,1,2,6,NA,2,2,NA,1,NA,1,NA,1,5
"752",40,1,1,6,NA,6,6,NA,6,NA,6,NA,7,5
"753",64,2,2,7,NA,4,4,NA,4,NA,4,NA,4,5
"754",65,2,1,5,NA,7,7,NA,7,NA,7,NA,7,5
"755",82,2,1,5,NA,7,6,NA,6,NA,7,NA,7,5
"756",41,1,2,2,NA,4,3,NA,2,NA,6,NA,4,5
"757",77,2,2,5,NA,4,3,NA,2,NA,2,NA,3,5
"758",70,2,2,6,NA,1,2,NA,2,NA,7,NA,7,5
"759",35,2,2,5,NA,3,3,NA,4,NA,4,NA,4,5
"760",37,2,2,3,NA,6,4,NA,3,NA,7,NA,7,5
"761",69,2,1,3,NA,3,3,NA,4,NA,3,NA,3,5
"762",53,2,1,1,NA,7,4,NA,4,NA,7,NA,7,5
"763",24,1,1,1,NA,6,6,NA,6,NA,7,NA,7,5
"764",71,2,2,4,NA,5,4,NA,5,NA,7,NA,5,5
"765",84,1,1,2,NA,5,5,NA,1,NA,5,NA,5,5
"766",73,2,1,7,NA,6,6,NA,6,NA,6,NA,5,5
"767",28,1,1,4,NA,6,6,NA,7,NA,7,NA,7,5
"768",78,2,2,4,NA,4,5,NA,4,NA,1,NA,4,5
"769",41,2,2,7,NA,1,1,NA,1,NA,1,NA,4,5
"770",34,2,2,4,NA,4,4,NA,4,NA,4,NA,4,5
"771",41,1,2,1,NA,7,7,NA,3,NA,7,NA,4,5
"772",60,1,2,4,NA,4,4,NA,1,NA,3,NA,4,5
"773",64,1,2,6,NA,6,6,NA,7,NA,1,NA,2,5
"774",67,2,2,7,NA,7,4,NA,7,NA,7,NA,7,5
"775",23,2,1,3,NA,5,5,NA,5,NA,7,NA,7,5
"776",44,2,1,4,NA,7,4,NA,4,NA,4,NA,4,5
"777",35,2,2,5,NA,1,1,NA,1,NA,7,NA,6,5
"778",30,1,2,2,NA,4,3,NA,3,NA,4,NA,5,5
"779",60,2,1,4,NA,5,5,NA,6,NA,7,NA,6,5
"780",47,1,1,7,NA,7,7,NA,7,NA,7,NA,7,5
