"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1887",1013053,2,3,2,2,5,2,1,2,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",107,88
"1888",1013055,2,1,1,3,3,1,2,1,3,1,2,98,4,98,97,98,"timeTracker2_R13PAD6A",78,88
"1889",1013056,2,3,2,2,3,2,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",113,88
"1890",1013057,1,2,2,2,2,2,2,1,3,2,98,3,98,3,98,4,"timeTracker2_R13PAD6B",168,88
"1891",1013071,2,4,1,2,1,1,1,1,2,2,98,3,98,3,98,2,"timeTracker2_R13PAD6B",72,88
"1892",1013080,1,3,2,3,1,1,1,1,1,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",93,88
"1893",1013088,2,3,2,2,2,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",135,88
"1894",1013090,1,3,2,2,5,2,2,1,2,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",109,88
"1895",1013097,2,3,1,2,4,1,1,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",132,88
"1896",1013101,2,3,2,2,2,2,2,2,3,1,4,98,4,98,3,98,"timeTracker2_R13PAD6A",85,88
"1897",1013104,1,2,2,4,4,2,1,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",190,88
"1898",1013105,1,3,2,5,5,1,2,1,2,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",149,88
"1899",1013106,1,4,2,4,6,2,1,2,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",86,88
"1900",1013110,1,3,2,3,4,2,2,1,2,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",3073,88
"1901",1013111,2,3,2,2,2,2,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",53,88
"1902",1013123,1,4,1,2,7,2,2,1,3,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",65,88
"1903",1013126,1,2,1,4,1,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",179,88
"1904",1013138,1,2,2,3,3,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",71,88
"1905",1013152,2,3,2,3,6,2,2,1,3,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",263,88
"1906",1013169,1,2,2,2,5,2,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",79,88
"1907",1013170,1,3,2,1,7,1,2,2,3,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",114,88
"1908",1013176,1,4,2,1,6,1,1,1,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",196,88
"1909",1013182,1,3,2,3,4,2,1,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",42,88
