"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time","median"
"1",1000010,1,3,2,4,5,2,2,2,3,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",92,88
"2",1000018,1,4,1,4,5,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",47,88
"3",1000023,2,4,1,4,7,1,1,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",60,88
"4",1000038,1,3,2,2,1,1,2,2,3,2,98,97,98,97,98,97,"timeTracker2_R13PAD6B",27,88
"5",1000043,1,3,1,3,1,1,2,1,2,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",54,88
"6",1000045,2,1,2,4,4,1,2,2,1,2,98,1,98,4,98,5,"timeTracker2_R13PAD6B",62,88
"7",1000049,1,1,2,1,2,1,2,1,1,2,98,4,98,4,98,5,"timeTracker2_R13PAD6B",49,88
"8",1000051,1,5,1,4,3,1,2,1,2,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",59,88
"9",1000058,2,3,1,4,2,1,1,2,2,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",36,88
"10",1000062,2,5,1,4,5,1,2,1,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",50,88
"11",1000084,1,2,2,1,7,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",42,88
"12",1000089,2,4,1,4,4,2,1,1,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",99,88
"13",1000092,1,3,2,1,5,1,2,1,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",58,88
"14",1000101,1,3,2,4,1,2,1,1,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",60,88
"15",1000105,1,2,2,4,2,2,1,2,2,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",65,88
"16",1000115,2,5,1,3,2,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",46,88
"17",1000127,2,5,1,2,2,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",37,88
"18",1000130,1,4,1,4,7,2,1,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",48,88
"19",1000131,2,4,1,3,1,1,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",51,88
"20",1000134,1,2,2,2,2,1,1,1,3,1,2,98,1,98,2,98,"timeTracker2_R13PAD6A",48,88
"21",1000143,1,4,1,2,1,1,2,2,1,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",55,88
"22",1000146,2,2,1,2,5,1,1,2,3,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",55,88
"23",1000151,2,4,2,2,7,2,1,2,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",50,88
"24",1000152,1,4,1,4,1,2,1,1,2,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",71,88
"25",1000153,2,4,1,3,5,1,2,1,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",38,88
"26",1000156,1,4,2,3,1,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",32,88
"27",1000165,1,1,2,2,7,1,1,2,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",43,88
"28",1000178,2,5,2,3,3,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",113,88
"29",1000181,1,3,1,3,6,2,2,2,3,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",526836,88
"30",1000183,1,2,2,2,7,2,2,2,1,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",23,88
"31",1000203,2,4,1,1,3,1,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",86,88
"32",1000204,1,2,2,4,3,1,1,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",63,88
"33",1000211,2,4,2,4,7,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",49,88
"34",1000233,1,2,2,2,2,2,1,2,3,1,2,98,5,98,4,98,"timeTracker2_R13PAD6A",65,88
"35",1000234,2,3,1,2,4,2,2,2,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",129,88
"36",1000236,1,4,2,3,4,2,1,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",78,88
"37",1000239,1,1,1,4,5,2,1,1,3,2,98,3,98,3,98,2,"timeTracker2_R13PAD6B",65,88
"38",1000248,1,3,2,3,2,2,1,2,3,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",79,88
"39",1000254,1,2,2,1,2,1,2,2,2,1,2,98,5,98,2,98,"timeTracker2_R13PAD6A",35,88
"40",1000256,1,3,2,2,4,1,2,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",113,88
"41",1000262,2,4,1,5,6,1,1,1,2,1,2,98,5,98,4,98,"timeTracker2_R13PAD6A",63,88
"42",1000270,1,5,2,2,6,2,1,2,1,1,5,98,5,98,4,98,"timeTracker2_R13PAD6A",138,88
"43",1000273,2,4,2,4,5,2,2,1,2,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",40,88
"44",1000278,2,3,2,5,6,1,1,2,3,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",95,88
"45",1000279,2,5,2,3,3,1,1,2,2,2,98,1,98,2,98,2,"timeTracker2_R13PAD6B",56,88
"46",1000280,1,4,1,4,4,2,2,1,1,1,2,98,2,98,5,98,"timeTracker2_R13PAD6A",47,88
"47",1000282,2,5,2,5,1,2,1,2,1,2,98,4,98,4,98,2,"timeTracker2_R13PAD6B",56,88
"48",1000285,1,3,1,3,5,1,2,1,3,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",43,88
"49",1000291,1,4,2,3,6,1,1,1,2,2,98,1,98,3,98,2,"timeTracker2_R13PAD6B",70,88
"50",1000297,1,4,2,5,1,1,2,1,2,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",86,88
"51",1000301,1,5,2,5,2,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",55,88
"52",1000304,1,2,2,2,3,1,2,1,3,2,98,4,98,4,98,2,"timeTracker2_R13PAD6B",33,88
"53",1000308,1,3,2,2,6,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",62,88
"54",1000311,1,5,2,5,7,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",63,88
"55",1000317,2,4,2,4,4,2,2,2,2,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",75,88
"56",1000319,1,4,1,4,3,2,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",52,88
"57",1000321,1,5,2,1,2,2,1,2,3,1,3,98,4,98,4,98,"timeTracker2_R13PAD6A",72,88
"58",1000323,1,4,2,1,1,1,1,1,1,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",63,88
"59",1000324,1,4,1,4,5,1,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50,88
"60",1000335,2,4,1,4,6,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",62,88
"61",1000337,1,2,2,1,4,1,1,1,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",66,88
"62",1000341,1,3,2,2,7,1,1,1,2,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",46,88
"63",1000344,2,4,2,1,3,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",52,88
"64",1000364,2,4,2,1,1,2,1,1,3,2,98,5,98,4,98,4,"timeTracker2_R13PAD6B",65,88
"65",1000367,2,3,1,3,2,1,2,2,2,1,3,98,1,98,2,98,"timeTracker2_R13PAD6A",78,88
"66",1000371,2,4,2,5,6,2,2,1,2,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",66,88
"67",1000376,2,4,2,1,2,1,1,1,3,2,98,4,98,4,98,5,"timeTracker2_R13PAD6B",125,88
"68",1000397,2,5,2,3,4,2,1,2,1,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",66,88
"69",1000412,1,4,2,4,5,2,1,2,2,2,98,2,98,4,98,1,"timeTracker2_R13PAD6B",28,88
"70",1000417,1,3,2,1,6,1,1,2,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",851998,88
"71",1000419,1,4,1,3,5,1,1,1,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",35,88
"72",1000420,1,4,1,4,5,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",53,88
"73",1000428,1,4,2,1,5,2,1,1,3,2,98,3,98,4,98,3,"timeTracker2_R13PAD6B",38,88
"74",1000429,1,4,2,2,5,2,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",44,88
"75",1000433,2,4,1,3,5,2,2,1,2,2,98,4,98,5,98,1,"timeTracker2_R13PAD6B",84,88
"76",1000437,1,4,1,2,6,1,2,1,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",48,88
"77",1000438,1,2,2,1,1,2,2,1,3,2,98,3,98,5,98,5,"timeTracker2_R13PAD6B",46,88
"78",1000443,2,1,2,2,3,1,2,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",55,88
"79",1000444,2,3,2,2,2,2,1,1,1,2,98,4,98,4,98,3,"timeTracker2_R13PAD6B",67,88
"80",1000450,2,5,2,5,3,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",2411,88
"81",1000454,1,3,2,4,3,1,2,2,2,2,98,3,98,3,98,5,"timeTracker2_R13PAD6B",114,88
"82",1000458,2,3,1,3,6,2,2,1,2,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",91,88
"83",1000460,2,4,1,3,6,2,2,1,1,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",58,88
"84",1000474,2,4,2,2,6,2,2,2,2,1,2,98,97,98,2,98,"timeTracker2_R13PAD6A",118,88
"85",1000478,1,1,2,1,6,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",94,88
"86",1000497,1,4,2,3,3,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50,88
"87",1000500,1,4,2,2,5,2,1,1,2,1,3,98,4,98,3,98,"timeTracker2_R13PAD6A",50,88
"88",1000506,1,4,2,1,7,2,1,1,2,2,98,3,98,5,98,4,"timeTracker2_R13PAD6B",103,88
"89",1000508,1,4,1,3,5,2,2,1,3,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",82,88
"90",1000512,1,4,2,5,7,1,2,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",126,88
"91",1000516,2,4,2,3,5,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",106,88
"92",1000517,1,3,2,2,4,1,1,1,3,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",115,88
"93",1000519,2,4,2,1,6,1,2,2,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",85,88
"94",1000527,2,3,2,4,6,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",90,88
"95",1000532,1,4,1,4,3,1,2,1,1,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",69753,88
"96",1000534,2,4,2,2,3,2,1,2,1,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",38,88
"97",1000535,2,4,2,1,4,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",76,88
"98",1000551,1,3,1,2,6,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",123,88
"99",1000553,2,2,1,2,4,2,2,1,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",72,88
"100",1000554,2,2,1,4,7,1,1,2,2,2,98,1,98,5,98,1,"timeTracker2_R13PAD6B",97,88
"101",1000555,1,2,2,2,3,2,1,1,1,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",42,88
"102",1000557,2,3,1,2,5,1,1,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",67,88
"103",1000560,1,2,2,3,6,1,1,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",77,88
"104",1000561,1,2,2,1,5,2,1,1,3,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",51,88
"105",1000564,2,3,2,2,5,1,2,1,2,2,98,2,98,2,98,4,"timeTracker2_R13PAD6B",43,88
"106",1000571,1,1,2,1,2,2,1,2,1,2,98,3,98,3,98,5,"timeTracker2_R13PAD6B",47,88
"107",1000581,97,5,2,3,3,1,2,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",84,88
"108",1000586,2,4,2,1,2,1,2,1,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",77,88
"109",1000588,1,4,2,4,7,2,2,1,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",69,88
"110",1000594,2,4,97,5,2,1,1,2,1,2,98,1,98,4,98,3,"timeTracker2_R13PAD6B",76,88
"111",1000605,1,5,2,1,6,1,2,2,3,1,4,98,3,98,2,98,"timeTracker2_R13PAD6A",84,88
"112",1000623,2,4,2,4,2,2,2,2,2,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",78,88
"113",1000630,1,4,2,4,4,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",64,88
"114",1000632,1,1,2,1,3,2,1,2,3,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",137,88
"115",1000635,2,4,2,3,3,1,1,2,3,2,98,2,98,3,98,1,"timeTracker2_R13PAD6B",77,88
"116",1000653,1,4,2,4,1,1,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",77,88
"117",1000657,2,3,1,2,3,1,1,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",86,88
"118",1000663,1,3,1,2,1,2,2,1,1,2,98,2,98,1,98,1,"timeTracker2_R13PAD6B",89,88
"119",1000669,2,4,1,4,4,2,2,2,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",56,88
"120",1000671,2,4,2,1,4,2,1,1,1,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",53,88
"121",1000676,1,3,2,1,5,1,1,2,3,2,98,3,98,2,98,2,"timeTracker2_R13PAD6B",82,88
"122",1000691,2,4,2,3,1,2,2,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",47,88
"123",1000698,2,3,1,3,2,2,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",63,88
"124",1000703,1,3,2,3,4,2,1,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",46,88
"125",1000706,1,4,2,3,4,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",90,88
"126",1000711,2,4,2,4,5,2,2,2,2,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",65,88
"127",1000713,2,3,97,5,3,2,2,1,3,1,1,98,97,98,97,98,"timeTracker2_R13PAD6A",51,88
"128",1000723,2,5,2,5,4,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",61,88
"129",1000724,1,4,2,4,5,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",79,88
"130",1000725,1,3,2,4,4,2,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",78,88
"131",1000726,2,1,1,2,6,1,2,2,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",80,88
"132",1000731,2,4,1,2,6,2,2,1,2,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",106,88
"133",1000737,1,3,2,3,7,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",31,88
"134",1000739,2,2,2,3,5,2,1,1,2,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",130,88
"135",1000750,1,4,2,4,2,1,2,1,3,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",68,88
"136",1000758,1,4,2,2,7,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",94,88
"137",1000763,1,4,2,4,6,2,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",150,88
"138",1000764,1,4,2,4,6,1,2,2,3,2,98,1,98,97,98,1,"timeTracker2_R13PAD6B",103,88
"139",1000765,1,2,2,1,7,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",98,88
"140",1000768,2,4,1,3,5,2,2,2,3,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",105,88
"141",1000776,1,3,2,3,6,2,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",94,88
"142",1000778,2,2,2,2,3,2,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",76,88
"143",1000781,1,3,2,4,7,1,2,1,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",105,88
"144",1000785,1,2,2,4,2,1,1,1,2,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",50,88
"145",1000790,1,4,2,4,1,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",53,88
"146",1000791,2,3,1,4,5,2,1,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",51,88
"147",1000793,2,4,2,4,5,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",55,88
"148",1000800,1,2,2,2,7,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50,88
"149",1000801,1,3,2,3,4,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",38,88
"150",1000810,1,3,2,2,7,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",47,88
"151",1000814,1,3,2,3,1,1,1,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",78,88
"152",1000827,1,3,2,3,2,2,2,2,1,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",47,88
"153",1000828,1,3,2,2,2,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",195,88
"154",1000831,1,4,2,2,7,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",69,88
"155",1000834,97,97,1,3,5,1,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",72,88
"156",1000835,1,4,2,3,7,1,1,1,1,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",108,88
"157",1000837,1,4,1,2,6,1,2,1,2,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",35,88
"158",1000845,2,4,2,2,5,2,1,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",87,88
"159",1000847,1,2,2,3,1,2,1,1,3,1,3,98,2,98,3,98,"timeTracker2_R13PAD6A",48,88
"160",1000848,2,3,1,4,2,1,1,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",80,88
"161",1000861,2,4,2,5,2,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",57,88
"162",1000864,1,3,2,4,2,1,2,2,1,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",82,88
"163",1000868,2,4,1,3,2,2,1,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",54,88
"164",1000873,1,4,2,2,2,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",46,88
"165",1000880,1,3,2,1,3,1,2,1,1,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",71,88
"166",1000887,1,2,1,3,1,1,1,1,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",53,88
"167",1000891,2,4,2,2,2,2,1,1,1,1,2,98,5,98,2,98,"timeTracker2_R13PAD6A",66,88
"168",1000894,2,2,1,4,2,2,1,2,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",68,88
"169",1000895,1,3,2,4,5,2,1,2,2,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",166,88
"170",1000899,2,3,2,3,5,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",91,88
"171",1000905,2,4,2,2,1,1,2,1,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",70,88
"172",1000908,1,1,2,3,4,1,2,1,3,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",60,88
"173",1000909,2,2,1,3,2,1,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",462472,88
"174",1000911,2,4,1,2,1,1,1,1,3,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",85,88
"175",1000922,1,3,2,2,7,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",59,88
"176",1000926,2,2,2,4,7,2,1,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",55,88
"177",1000927,2,4,1,3,5,2,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",108,88
"178",1000929,1,3,2,3,2,2,1,2,2,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",59,88
"179",1000935,1,4,2,1,7,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",108,88
"180",1000936,1,2,2,2,5,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",61,88
"181",1000939,2,4,2,4,4,1,2,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",73,88
"182",1000944,1,1,2,1,3,1,2,2,1,2,98,2,98,2,98,4,"timeTracker2_R13PAD6B",138,88
"183",1000954,2,4,2,4,6,1,2,1,3,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",142,88
"184",1000956,2,3,1,2,2,2,1,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",55,88
"185",1000958,1,2,2,1,5,2,2,1,2,2,98,5,98,5,98,1,"timeTracker2_R13PAD6B",133,88
"186",1000964,2,5,2,3,5,2,2,1,2,2,98,1,98,2,98,2,"timeTracker2_R13PAD6B",85,88
"187",1000966,1,1,2,3,2,1,1,1,3,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",77,88
"188",1000969,1,5,2,2,6,2,1,1,2,1,3,98,5,98,4,98,"timeTracker2_R13PAD6A",94,88
"189",1000972,1,3,2,2,6,2,1,2,2,2,98,3,98,4,98,3,"timeTracker2_R13PAD6B",100,88
"190",1000978,1,4,2,5,3,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",52,88
"191",1000984,2,2,2,2,4,2,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",103,88
"192",1000988,2,4,2,4,3,1,2,2,1,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",109,88
"193",1000992,1,2,2,2,3,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",79,88
"194",1000995,1,4,2,2,5,2,1,2,3,1,4,98,5,98,5,98,"timeTracker2_R13PAD6A",60,88
"195",1000999,2,4,1,2,6,1,2,2,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",63,88
"196",1001003,1,4,2,4,5,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",74,88
"197",1001007,2,3,2,3,3,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",86,88
"198",1001010,1,3,97,4,2,2,1,1,2,2,98,1,98,1,98,3,"timeTracker2_R13PAD6B",61,88
"199",1001013,2,3,1,4,4,2,2,1,1,1,3,98,2,98,3,98,"timeTracker2_R13PAD6A",109,88
"200",1001015,1,2,2,2,6,1,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50,88
"201",1001020,1,4,2,3,3,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",92,88
"202",1001021,2,2,1,3,6,1,1,2,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",50,88
"203",1001025,1,1,2,4,1,2,1,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",82,88
"204",1001029,1,1,2,1,5,2,1,2,3,1,4,98,5,98,5,98,"timeTracker2_R13PAD6A",130,88
"205",1001033,1,4,2,4,6,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",48,88
"206",1001037,1,3,1,3,3,2,1,1,1,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",116,88
"207",1001041,1,2,2,2,4,2,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",96,88
"208",1001056,1,4,2,2,6,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",77,88
"209",1001070,2,4,2,3,6,1,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",114,88
"210",1001071,2,4,2,4,4,2,1,2,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",70,88
"211",1001072,1,4,2,4,6,1,2,1,2,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",71,88
"212",1001085,1,1,2,4,6,2,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",65,88
"213",1001087,2,2,2,4,4,2,1,1,1,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",123,88
"214",1001097,1,2,2,2,3,2,1,1,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",61,88
"215",1001098,1,5,2,3,1,2,1,1,3,2,98,2,98,4,98,3,"timeTracker2_R13PAD6B",85,88
"216",1001110,2,2,2,2,7,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",70,88
"217",1001111,1,3,2,4,7,1,2,1,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",162,88
"218",1001113,1,2,2,3,7,2,1,1,3,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",89,88
"219",1001114,1,3,2,5,1,2,1,1,2,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",76,88
"220",1001119,2,3,1,3,2,1,1,2,1,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",115,88
"221",1001122,2,1,2,1,6,1,1,1,1,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",76,88
"222",1001130,2,4,2,4,5,1,2,1,3,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",88,88
"223",1001138,2,3,2,2,7,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",116,88
"224",1001143,1,3,2,1,7,2,1,2,3,2,98,4,98,4,98,4,"timeTracker2_R13PAD6B",86,88
"225",1001147,2,4,2,2,3,2,2,2,3,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",94,88
"226",1001158,1,4,2,3,1,2,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",49,88
"227",1001159,1,3,2,2,5,1,2,2,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",199,88
"228",1001162,2,4,2,4,5,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",106,88
"229",1001163,1,4,2,4,6,2,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",83,88
"230",1001168,2,4,1,1,4,2,1,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",51,88
"231",1001174,1,5,2,3,4,1,1,1,3,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",78,88
"232",1001185,2,5,1,3,1,1,2,1,1,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",44,88
"233",1001186,1,3,1,4,3,1,2,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",46,88
"234",1001188,1,4,2,2,2,2,1,1,2,1,3,98,5,98,4,98,"timeTracker2_R13PAD6A",86,88
