"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1",1000010,1,3,2,4,5,2,2,2,3,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",92
"2",1000018,1,4,1,4,5,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",47
"3",1000023,2,4,1,4,7,1,1,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",60
"4",1000038,1,3,2,2,1,1,2,2,3,2,98,97,98,97,98,97,"timeTracker2_R13PAD6B",27
"5",1000043,1,3,1,3,1,1,2,1,2,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",54
"6",1000045,2,1,2,4,4,1,2,2,1,2,98,1,98,4,98,5,"timeTracker2_R13PAD6B",62
"7",1000049,1,1,2,1,2,1,2,1,1,2,98,4,98,4,98,5,"timeTracker2_R13PAD6B",49
"8",1000051,1,5,1,4,3,1,2,1,2,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",59
"9",1000058,2,3,1,4,2,1,1,2,2,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",36
"10",1000062,2,5,1,4,5,1,2,1,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",50
"11",1000084,1,2,2,1,7,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",42
"12",1000089,2,4,1,4,4,2,1,1,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",99
"13",1000092,1,3,2,1,5,1,2,1,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",58
"14",1000101,1,3,2,4,1,2,1,1,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",60
"15",1000105,1,2,2,4,2,2,1,2,2,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",65
"16",1000115,2,5,1,3,2,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",46
"17",1000127,2,5,1,2,2,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",37
"18",1000130,1,4,1,4,7,2,1,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",48
"19",1000131,2,4,1,3,1,1,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",51
"20",1000134,1,2,2,2,2,1,1,1,3,1,2,98,1,98,2,98,"timeTracker2_R13PAD6A",48
"21",1000143,1,4,1,2,1,1,2,2,1,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",55
"22",1000146,2,2,1,2,5,1,1,2,3,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",55
"23",1000151,2,4,2,2,7,2,1,2,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",50
"24",1000152,1,4,1,4,1,2,1,1,2,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",71
"25",1000153,2,4,1,3,5,1,2,1,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",38
"26",1000156,1,4,2,3,1,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",32
"27",1000165,1,1,2,2,7,1,1,2,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",43
"28",1000178,2,5,2,3,3,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",113
"29",1000181,1,3,1,3,6,2,2,2,3,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",526836
"30",1000183,1,2,2,2,7,2,2,2,1,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",23
"31",1000186,2,3,1,2,4,2,1,2,2,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",13
"32",1000203,2,4,1,1,3,1,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",86
"33",1000204,1,2,2,4,3,1,1,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",63
"34",1000211,2,4,2,4,7,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",49
"35",1000233,1,2,2,2,2,2,1,2,3,1,2,98,5,98,4,98,"timeTracker2_R13PAD6A",65
"36",1000234,2,3,1,2,4,2,2,2,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",129
"37",1000236,1,4,2,3,4,2,1,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",78
"38",1000239,1,1,1,4,5,2,1,1,3,2,98,3,98,3,98,2,"timeTracker2_R13PAD6B",65
"39",1000248,1,3,2,3,2,2,1,2,3,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",79
"40",1000254,1,2,2,1,2,1,2,2,2,1,2,98,5,98,2,98,"timeTracker2_R13PAD6A",35
"41",1000256,1,3,2,2,4,1,2,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",113
"42",1000262,2,4,1,5,6,1,1,1,2,1,2,98,5,98,4,98,"timeTracker2_R13PAD6A",63
"43",1000270,1,5,2,2,6,2,1,2,1,1,5,98,5,98,4,98,"timeTracker2_R13PAD6A",138
"44",1000273,2,4,2,4,5,2,2,1,2,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",40
"45",1000278,2,3,2,5,6,1,1,2,3,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",95
"46",1000279,2,5,2,3,3,1,1,2,2,2,98,1,98,2,98,2,"timeTracker2_R13PAD6B",56
"47",1000280,1,4,1,4,4,2,2,1,1,1,2,98,2,98,5,98,"timeTracker2_R13PAD6A",47
"48",1000282,2,5,2,5,1,2,1,2,1,2,98,4,98,4,98,2,"timeTracker2_R13PAD6B",56
"49",1000285,1,3,1,3,5,1,2,1,3,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",43
"50",1000291,1,4,2,3,6,1,1,1,2,2,98,1,98,3,98,2,"timeTracker2_R13PAD6B",70
"51",1000297,1,4,2,5,1,1,2,1,2,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",86
"52",1000301,1,5,2,5,2,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",55
"53",1000304,1,2,2,2,3,1,2,1,3,2,98,4,98,4,98,2,"timeTracker2_R13PAD6B",33
"54",1000308,1,3,2,2,6,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",62
"55",1000311,1,5,2,5,7,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",63
"56",1000316,2,4,1,2,6,2,2,1,2,2,98,2,98,97,98,97,"timeTracker2_R13PAD6B",9
"57",1000317,2,4,2,4,4,2,2,2,2,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",75
"58",1000319,1,4,1,4,3,2,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",52
"59",1000321,1,5,2,1,2,2,1,2,3,1,3,98,4,98,4,98,"timeTracker2_R13PAD6A",72
"60",1000323,1,4,2,1,1,1,1,1,1,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",63
"61",1000324,1,4,1,4,5,1,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50
"62",1000335,2,4,1,4,6,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",62
"63",1000337,1,2,2,1,4,1,1,1,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",66
"64",1000341,1,3,2,2,7,1,1,1,2,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",46
"65",1000344,2,4,2,1,3,1,1,1,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",52
"66",1000364,2,4,2,1,1,2,1,1,3,2,98,5,98,4,98,4,"timeTracker2_R13PAD6B",65
"67",1000367,2,3,1,3,2,1,2,2,2,1,3,98,1,98,2,98,"timeTracker2_R13PAD6A",78
"68",1000371,2,4,2,5,6,2,2,1,2,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",66
"69",1000376,2,4,2,1,2,1,1,1,3,2,98,4,98,4,98,5,"timeTracker2_R13PAD6B",125
"70",1000397,2,5,2,3,4,2,1,2,1,1,2,98,4,98,3,98,"timeTracker2_R13PAD6A",66
"71",1000412,1,4,2,4,5,2,1,2,2,2,98,2,98,4,98,1,"timeTracker2_R13PAD6B",28
"72",1000417,1,3,2,1,6,1,1,2,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",851998
"73",1000419,1,4,1,3,5,1,1,1,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",35
"74",1000420,1,4,1,4,5,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",53
"75",1000428,1,4,2,1,5,2,1,1,3,2,98,3,98,4,98,3,"timeTracker2_R13PAD6B",38
"76",1000429,1,4,2,2,5,2,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",44
"77",1000433,2,4,1,3,5,2,2,1,2,2,98,4,98,5,98,1,"timeTracker2_R13PAD6B",84
"78",1000437,1,4,1,2,6,1,2,1,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",48
"79",1000438,1,2,2,1,1,2,2,1,3,2,98,3,98,5,98,5,"timeTracker2_R13PAD6B",46
"80",1000443,2,1,2,2,3,1,2,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",55
"81",1000444,2,3,2,2,2,2,1,1,1,2,98,4,98,4,98,3,"timeTracker2_R13PAD6B",67
"82",1000450,2,5,2,5,3,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",2411
"83",1000454,1,3,2,4,3,1,2,2,2,2,98,3,98,3,98,5,"timeTracker2_R13PAD6B",114
"84",1000458,2,3,1,3,6,2,2,1,2,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",91
"85",1000460,2,4,1,3,6,2,2,1,1,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",58
"86",1000463,1,3,2,97,4,1,2,2,1,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",2
"87",1000474,2,4,2,2,6,2,2,2,2,1,2,98,97,98,2,98,"timeTracker2_R13PAD6A",118
"88",1000478,1,1,2,1,6,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",94
"89",1000497,1,4,2,3,3,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50
"90",1000500,1,4,2,2,5,2,1,1,2,1,3,98,4,98,3,98,"timeTracker2_R13PAD6A",50
"91",1000506,1,4,2,1,7,2,1,1,2,2,98,3,98,5,98,4,"timeTracker2_R13PAD6B",103
"92",1000508,1,4,1,3,5,2,2,1,3,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",82
"93",1000512,1,4,2,5,7,1,2,1,3,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",126
"94",1000516,2,4,2,3,5,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",106
"95",1000517,1,3,2,2,4,1,1,1,3,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",115
"96",1000519,2,4,2,1,6,1,2,2,2,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",85
"97",1000527,2,3,2,4,6,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",90
"98",1000532,1,4,1,4,3,1,2,1,1,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",69753
"99",1000534,2,4,2,2,3,2,1,2,1,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",38
"100",1000535,2,4,2,1,4,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",76
"101",1000551,1,3,1,2,6,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",123
"102",1000553,2,2,1,2,4,2,2,1,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",72
"103",1000554,2,2,1,4,7,1,1,2,2,2,98,1,98,5,98,1,"timeTracker2_R13PAD6B",97
"104",1000555,1,2,2,2,3,2,1,1,1,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",42
"105",1000557,2,3,1,2,5,1,1,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",67
"106",1000560,1,2,2,3,6,1,1,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",77
"107",1000561,1,2,2,1,5,2,1,1,3,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",51
"108",1000564,2,3,2,2,5,1,2,1,2,2,98,2,98,2,98,4,"timeTracker2_R13PAD6B",43
"109",1000571,1,1,2,1,2,2,1,2,1,2,98,3,98,3,98,5,"timeTracker2_R13PAD6B",47
"110",1000581,97,5,2,3,3,1,2,2,3,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",84
"111",1000586,2,4,2,1,2,1,2,1,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",77
"112",1000588,1,4,2,4,7,2,2,1,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",69
"113",1000594,2,4,97,5,2,1,1,2,1,2,98,1,98,4,98,3,"timeTracker2_R13PAD6B",76
"114",1000605,1,5,2,1,6,1,2,2,3,1,4,98,3,98,2,98,"timeTracker2_R13PAD6A",84
"115",1000623,2,4,2,4,2,2,2,2,2,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",78
"116",1000630,1,4,2,4,4,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",64
"117",1000632,1,1,2,1,3,2,1,2,3,1,5,98,5,98,5,98,"timeTracker2_R13PAD6A",137
"118",1000635,2,4,2,3,3,1,1,2,3,2,98,2,98,3,98,1,"timeTracker2_R13PAD6B",77
"119",1000653,1,4,2,4,1,1,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",77
"120",1000657,2,3,1,2,3,1,1,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",86
"121",1000663,1,3,1,2,1,2,2,1,1,2,98,2,98,1,98,1,"timeTracker2_R13PAD6B",89
"122",1000669,2,4,1,4,4,2,2,2,2,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",56
"123",1000671,2,4,2,1,4,2,1,1,1,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",53
"124",1000676,1,3,2,1,5,1,1,2,3,2,98,3,98,2,98,2,"timeTracker2_R13PAD6B",82
"125",1000691,2,4,2,3,1,2,2,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",47
"126",1000698,2,3,1,3,2,2,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",63
"127",1000703,1,3,2,3,4,2,1,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",46
"128",1000704,1,5,2,5,6,1,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",0
"129",1000706,1,4,2,3,4,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",90
"130",1000711,2,4,2,4,5,2,2,2,2,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",65
"131",1000713,2,3,97,5,3,2,2,1,3,1,1,98,97,98,97,98,"timeTracker2_R13PAD6A",51
"132",1000723,2,5,2,5,4,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",61
"133",1000724,1,4,2,4,5,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",79
"134",1000725,1,3,2,4,4,2,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",78
"135",1000726,2,1,1,2,6,1,2,2,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",80
"136",1000731,2,4,1,2,6,2,2,1,2,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",106
"137",1000737,1,3,2,3,7,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",31
"138",1000739,2,2,2,3,5,2,1,1,2,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",130
"139",1000750,1,4,2,4,2,1,2,1,3,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",68
"140",1000758,1,4,2,2,7,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",94
"141",1000763,1,4,2,4,6,2,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",150
"142",1000764,1,4,2,4,6,1,2,2,3,2,98,1,98,97,98,1,"timeTracker2_R13PAD6B",103
"143",1000765,1,2,2,1,7,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",98
"144",1000768,2,4,1,3,5,2,2,2,3,1,2,98,4,98,2,98,"timeTracker2_R13PAD6A",105
"145",1000776,1,3,2,3,6,2,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",94
"146",1000778,2,2,2,2,3,2,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",76
"147",1000781,1,3,2,4,7,1,2,1,3,1,3,98,3,98,3,98,"timeTracker2_R13PAD6A",105
"148",1000785,1,2,2,4,2,1,1,1,2,2,98,1,98,2,98,1,"timeTracker2_R13PAD6B",50
"149",1000790,1,4,2,4,1,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",53
"150",1000791,2,3,1,4,5,2,1,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",51
"151",1000793,2,4,2,4,5,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",55
"152",1000800,1,2,2,2,7,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50
"153",1000801,1,3,2,3,4,2,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",38
"154",1000810,1,3,2,2,7,1,2,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",47
"155",1000814,1,3,2,3,1,1,1,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",78
"156",1000827,1,3,2,3,2,2,2,2,1,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",47
"157",1000828,1,3,2,2,2,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",195
"158",1000831,1,4,2,2,7,1,1,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",69
"159",1000834,97,97,1,3,5,1,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",72
"160",1000835,1,4,2,3,7,1,1,1,1,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",108
"161",1000837,1,4,1,2,6,1,2,1,2,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",35
"162",1000845,2,4,2,2,5,2,1,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",87
"163",1000847,1,2,2,3,1,2,1,1,3,1,3,98,2,98,3,98,"timeTracker2_R13PAD6A",48
"164",1000848,2,3,1,4,2,1,1,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",80
"165",1000861,2,4,2,5,2,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",57
"166",1000864,1,3,2,4,2,1,2,2,1,1,2,98,3,98,2,98,"timeTracker2_R13PAD6A",82
"167",1000868,2,4,1,3,2,2,1,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",54
"168",1000873,1,4,2,2,2,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",46
"169",1000880,1,3,2,1,3,1,2,1,1,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",71
"170",1000887,1,2,1,3,1,1,1,1,2,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",53
"171",1000891,2,4,2,2,2,2,1,1,1,1,2,98,5,98,2,98,"timeTracker2_R13PAD6A",66
"172",1000894,2,2,1,4,2,2,1,2,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",68
"173",1000895,1,3,2,4,5,2,1,2,2,2,98,1,98,3,98,1,"timeTracker2_R13PAD6B",166
"174",1000899,2,3,2,3,5,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",91
"175",1000905,2,4,2,2,1,1,2,1,1,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",70
"176",1000908,1,1,2,3,4,1,2,1,3,1,1,98,1,98,2,98,"timeTracker2_R13PAD6A",60
"177",1000909,2,2,1,3,2,1,2,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",462472
"178",1000911,2,4,1,2,1,1,1,1,3,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",85
"179",1000922,1,3,2,2,7,1,1,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",59
"180",1000926,2,2,2,4,7,2,1,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",55
"181",1000927,2,4,1,3,5,2,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",108
"182",1000929,1,3,2,3,2,2,1,2,2,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",59
"183",1000935,1,4,2,1,7,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",108
"184",1000936,1,2,2,2,5,2,2,2,2,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",61
"185",1000939,2,4,2,4,4,1,2,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",73
"186",1000944,1,1,2,1,3,1,2,2,1,2,98,2,98,2,98,4,"timeTracker2_R13PAD6B",138
"187",1000954,2,4,2,4,6,1,2,1,3,2,98,2,98,4,98,2,"timeTracker2_R13PAD6B",142
"188",1000956,2,3,1,2,2,2,1,2,1,2,98,2,98,3,98,2,"timeTracker2_R13PAD6B",55
"189",1000957,2,1,2,3,3,2,2,2,2,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",0
"190",1000958,1,2,2,1,5,2,2,1,2,2,98,5,98,5,98,1,"timeTracker2_R13PAD6B",133
"191",1000964,2,5,2,3,5,2,2,1,2,2,98,1,98,2,98,2,"timeTracker2_R13PAD6B",85
"192",1000966,1,1,2,3,2,1,1,1,3,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",77
"193",1000969,1,5,2,2,6,2,1,1,2,1,3,98,5,98,4,98,"timeTracker2_R13PAD6A",94
"194",1000972,1,3,2,2,6,2,1,2,2,2,98,3,98,4,98,3,"timeTracker2_R13PAD6B",100
"195",1000978,1,4,2,5,3,2,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",52
"196",1000984,2,2,2,2,4,2,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",103
"197",1000988,2,4,2,4,3,1,2,2,1,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",109
"198",1000992,1,2,2,2,3,1,2,2,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",79
"199",1000995,1,4,2,2,5,2,1,2,3,1,4,98,5,98,5,98,"timeTracker2_R13PAD6A",60
"200",1000999,2,4,1,2,6,1,2,2,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",63
"201",1001003,1,4,2,4,5,2,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",74
"202",1001007,2,3,2,3,3,1,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",86
"203",1001010,1,3,97,4,2,2,1,1,2,2,98,1,98,1,98,3,"timeTracker2_R13PAD6B",61
"204",1001013,2,3,1,4,4,2,2,1,1,1,3,98,2,98,3,98,"timeTracker2_R13PAD6A",109
"205",1001015,1,2,2,2,6,1,2,2,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",50
"206",1001020,1,4,2,3,3,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",92
"207",1001021,2,2,1,3,6,1,1,2,3,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",50
"208",1001025,1,1,2,4,1,2,1,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",82
"209",1001029,1,1,2,1,5,2,1,2,3,1,4,98,5,98,5,98,"timeTracker2_R13PAD6A",130
"210",1001033,1,4,2,4,6,1,2,1,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",48
"211",1001037,1,3,1,3,3,2,1,1,1,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",116
"212",1001041,1,2,2,2,4,2,2,1,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",96
"213",1001056,1,4,2,2,6,2,2,2,3,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",77
"214",1001070,2,4,2,3,6,1,1,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",114
"215",1001071,2,4,2,4,4,2,1,2,1,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",70
"216",1001072,1,4,2,4,6,1,2,1,2,1,2,98,2,98,3,98,"timeTracker2_R13PAD6A",71
"217",1001085,1,1,2,4,6,2,2,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",65
"218",1001087,2,2,2,4,4,2,1,1,1,2,98,2,98,3,98,3,"timeTracker2_R13PAD6B",123
"219",1001097,1,2,2,2,3,2,1,1,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",61
"220",1001098,1,5,2,3,1,2,1,1,3,2,98,2,98,4,98,3,"timeTracker2_R13PAD6B",85
"221",1001110,2,2,2,2,7,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",70
"222",1001111,1,3,2,4,7,1,2,1,1,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",162
"223",1001113,1,2,2,3,7,2,1,1,3,1,4,98,4,98,4,98,"timeTracker2_R13PAD6A",89
"224",1001114,1,3,2,5,1,2,1,1,2,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",76
"225",1001119,2,3,1,3,2,1,1,2,1,1,3,98,3,98,2,98,"timeTracker2_R13PAD6A",115
"226",1001122,2,1,2,1,6,1,1,1,1,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",76
"227",1001130,2,4,2,4,5,1,2,1,3,1,1,98,2,98,1,98,"timeTracker2_R13PAD6A",88
"228",1001138,2,3,2,2,7,1,2,2,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",116
"229",1001143,1,3,2,1,7,2,1,2,3,2,98,4,98,4,98,4,"timeTracker2_R13PAD6B",86
"230",1001147,2,4,2,2,3,2,2,2,3,1,2,98,3,98,3,98,"timeTracker2_R13PAD6A",94
"231",1001158,1,4,2,3,1,2,2,1,2,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",49
"232",1001159,1,3,2,2,5,1,2,2,3,2,98,3,98,3,98,3,"timeTracker2_R13PAD6B",199
"233",1001162,2,4,2,4,5,1,1,2,3,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",106
"234",1001163,1,4,2,4,6,2,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",83
"235",1001168,2,4,1,1,4,2,1,2,3,1,2,98,2,98,1,98,"timeTracker2_R13PAD6A",51
"236",1001174,1,5,2,3,4,1,1,1,3,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",78
"237",1001185,2,5,1,3,1,1,2,1,1,1,2,98,1,98,1,98,"timeTracker2_R13PAD6A",44
"238",1001186,1,3,1,4,3,1,2,1,1,2,98,2,98,2,98,2,"timeTracker2_R13PAD6B",46
"239",1001188,1,4,2,2,2,2,1,1,2,1,3,98,5,98,4,98,"timeTracker2_R13PAD6A",86
"240",1001200,2,1,1,2,5,1,2,1,1,1,1,98,5,98,4,98,"timeTracker2_R13PAD6A",108
"241",1001205,1,4,2,4,6,2,1,2,2,2,98,3,98,3,98,4,"timeTracker2_R13PAD6B",87
"242",1001206,2,4,1,4,5,2,1,1,1,1,2,98,2,98,2,98,"timeTracker2_R13PAD6A",87
"243",1001207,1,1,1,2,4,1,1,2,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",205
