"","responseid","r13pad1","r13pad2","r13pad3","r13pad4","r13pad5_avsender","r13pad5_sak","r13pad5_utfall","r13pad5_vinner","r13pad5_vinnermargin","r13pad6_ran","r13pad6a","r13pad6b","r13pad7a","r13pad7b","r13pad8a","r13pad8b","Scale_time","time"
"1106",1008002,2,1,2,2,3,1,1,2,1,1,1,98,5,98,3,98,"timeTracker2_R13PAD6A",90
"1107",1008020,1,4,2,1,2,1,1,1,3,2,98,1,98,1,98,2,"timeTracker2_R13PAD6B",89
"1108",1008032,1,4,2,4,1,1,1,1,1,1,1,98,2,98,2,98,"timeTracker2_R13PAD6A",52
"1109",1008053,1,2,2,2,2,2,1,1,2,1,3,98,4,98,4,98,"timeTracker2_R13PAD6A",120
"1110",1008058,2,2,97,4,2,2,1,2,2,1,97,98,97,98,97,98,"timeTracker2_R13PAD6A",73
"1111",1008060,1,2,1,1,7,1,2,1,1,1,2,98,5,98,4,98,"timeTracker2_R13PAD6A",95
"1112",1008066,2,1,2,1,7,2,2,1,3,2,98,1,98,2,98,97,"timeTracker2_R13PAD6B",204
"1113",1008070,1,3,2,3,6,1,1,1,3,2,98,2,98,2,98,1,"timeTracker2_R13PAD6B",198
"1114",1008099,1,4,2,3,3,1,2,2,1,2,98,4,98,4,98,3,"timeTracker2_R13PAD6B",165
"1115",1008102,1,1,2,2,4,1,1,1,2,2,98,3,98,3,98,2,"timeTracker2_R13PAD6B",45
"1116",1008104,1,4,1,4,7,2,2,1,1,1,1,98,1,98,1,98,"timeTracker2_R13PAD6A",151
"1117",1008109,2,4,2,4,2,1,2,1,1,2,98,1,98,1,98,1,"timeTracker2_R13PAD6B",69
"1118",1008110,1,2,2,4,6,2,2,1,2,2,98,97,98,97,98,97,"timeTracker2_R13PAD6B",40
"1119",1008118,1,1,1,2,5,2,2,1,3,1,2,98,4,98,4,98,"timeTracker2_R13PAD6A",487
"1120",1008128,1,2,2,2,1,1,2,2,2,2,98,1,98,3,98,2,"timeTracker2_R13PAD6B",80
"1121",1008133,2,5,97,4,7,2,2,2,2,2,98,3,98,2,98,3,"timeTracker2_R13PAD6B",67
